# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 7.19380607e-01 7.82389903e-01 8.32706766e-01 8.68770245e-01 8.89390518e-01 8.93777054e-01 8.81554601e-01 8.52766648e-01 8.07866479e-01 7.47696269e-01 6.73455128e-01 5.86657288e-01 4.89081971e-01 3.82716719e-01 2.69696129e-01 1.52238101e-01 3.25796987e-02 -8.70852516e-02 -2.04664853e-01 -3.18222269e-01 -4.26021697e-01 -5.26565870e-01 -6.18624082e-01 -7.01250089e-01 -7.73789629e-01 -8.35877641e-01 -8.87425673e-01 -9.28600276e-01 -9.59793517e-01 -9.81586980e-01 -9.94710881e-01 -1.00000000e+00 -9.98348295e-01 -9.90664010e-01 -9.77827076e-01 -9.60650456e-01 -9.39846924e-01 -9.16002509e-01 -8.89557572e-01 -8.60796155e-01 -8.29843910e-01 -7.96674564e-01 -7.61124523e-01 -7.22914917e-01 -6.81680045e-01 -6.37000960e-01 -5.88442693e-01 -5.35593485e-01 -4.78104274e-01 -4.15726705e-01 -3.48347922e-01 -2.76020566e-01 -1.98986524e-01 -1.17693246e-01 -3.28016931e-02 5.48146782e-02 1.44080181e-01 2.33736310e-01 3.22369855e-01 4.08448938e-01 4.90365852e-01 5.66485313e-01 6.35196503e-01 6.94967085e-01 7.44397288e-01 7.82272070e-01 8.07609442e-01 8.19703078e-01 8.18157544e-01 8.02914678e-01 7.74269935e-01 7.32877855e-01 6.79746150e-01 6.16218310e-01 5.43945003e-01 4.64844956e-01 3.81056337e-01 2.94880035e-01 2.08716517e-01 1.24998156e-01 4.61191486e-02 -2.56347820e-02 -8.81546636e-02 -1.39572324e-01 -1.78318132e-01 -2.03170524e-01 -2.13295677e-01 -2.08275965e-01 -1.88126232e-01 -1.53297262e-01 -1.04666260e-01 -4.35145767e-02 2.85066974e-02 1.09422227e-01 1.96987636e-01 2.88752721e-01 3.82130708e-01 4.74471416e-01 5.63136053e-01 6.45571330e-01
1.00000000e-01 7.19913722e-01 7.81927777e-01 8.32679749e-01 8.68749883e-01 8.89372052e-01 8.93758365e-01 8.81534634e-01 8.52741517e-01 8.07831676e-01 7.47649570e-01 6.73398437e-01 5.86594734e-01 4.89019897e-01 3.82661668e-01 2.69654383e-01 1.52214221e-01 3.25761504e-02 -8.70685748e-02 -2.04630330e-01 -3.18174192e-01 -4.25965296e-01 -5.26506830e-01 -6.18567238e-01 -7.01199621e-01 -7.73747726e-01 -8.35845686e-01 -8.87403009e-01 -9.28586017e-01 -9.59785416e-01 -9.81579690e-01 -9.94733946e-01 -9.99967972e-01 -9.98355442e-01 -9.90667614e-01 -9.77824503e-01 -9.60646726e-01 -9.39842138e-01 -9.15996537e-01 -8.89550726e-01 -8.60788188e-01 -8.29834936e-01 -7.96664134e-01 -7.61112535e-01 -7.22900815e-01 -6.81663652e-01 -6.36981824e-01 -5.88420817e-01 -5.35568824e-01 -4.78077333e-01 -4.15698174e-01 -3.48319070e-01 -2.75992950e-01 -1.98962115e-01 -1.17674122e-01 -3.27899051e-02 5.48174627e-02 1.44072913e-01 2.33718872e-01 3.22343100e-01 4.08414842e-01 4.90327052e-01 5.66445104e-01 6.35157813e-01 6.94932514e-01 7.44367848e-01 7.82247652e-01 8.07588381e-01 8.19683503e-01 8.18137587e-01 8.02892415e-01 7.74243512e-01 7.32845820e-01 6.79708920e-01 6.16177691e-01 5.43904588e-01 4.64808739e-01 3.81028516e-01 2.94863809e-01 2.08713891e-01 1.25009479e-01 4.61433636e-02 -2.55998361e-02 -8.81116416e-02 -1.39523842e-01 -1.78266321e-01 -2.03116874e-01 -2.13241107e-01 -2.08221137e-01 -1.88071956e-01 -1.53244877e-01 -1.04617879e-01 -4.34730415e-02 2.85381239e-02 1.09440484e-01 1.96990525e-01 2.88739643e-01 3.82102923e-01 4.74431956e-01 5.62627600e-01 6.45838057e-01
2.00000000e-01 7.21506248e-01 7.80552752e-01 8.32593680e-01 8.68689308e-01 8.89316633e-01 8.93702279e-01 8.81474700e-01 8.52666089e-01 8.07727245e-01 7.47509474e-01 6.73228382e-01 5.86407122e-01 4.88833744e-01 3.82496595e-01 2.69529208e-01 1.52142622e-01 3.25655078e-02 -8.70185765e-02 -2.04526819e-01 -3.18030029e-01 -4.25796160e-01 -5.26329755e-01 -6.18396739e-01 -7.01048224e-01 -7.73622012e-01 -8.35749804e-01 -8.87335002e-01 -9.28543232e-01 -9.59760889e-01 -9.81558483e-01 -9.94802121e-01 -9.99872806e-01 -9.98376278e-01 -9.90678660e-01 -9.77816783e-01 -9.60635511e-01 -9.39827778e-01 -9.15978623e-01 -8.89530185e-01 -8.60764288e-01 -8.29808011e-01 -7.96632841e-01 -7.61076566e-01 -7.22858504e-01 -6.81614468e-01 -6.36924415e-01 -5.88355185e-01 -5.35494847e-01 -4.77996516e-01 -4.15612595e-01 -3.48232528e-01 -2.75910125e-01 -1.98888911e-01 -1.17616777e-01 -3.27545590e-02 5.48258070e-02 1.44051111e-01 2.33666573e-01 3.22262865e-01 4.08312586e-01 4.90210685e-01 5.66324500e-01 6.35041760e-01 6.94828802e-01 7.44279525e-01 7.82174384e-01 8.07525183e-01 8.19624760e-01 8.18077697e-01 8.02825610e-01 7.74164225e-01 7.32749713e-01 6.79597237e-01 6.16055859e-01 5.43783379e-01 4.64700131e-01 3.80945093e-01 2.94815159e-01 2.08706023e-01 1.25043438e-01 4.62159851e-02 -2.54950278e-02 -8.79826042e-02 -1.39378418e-01 -1.78110904e-01 -2.02955929e-01 -2.13077398e-01 -2.08056654e-01 -1.87909135e-01 -1.53087740e-01 -1.04472763e-01 -4.33484719e-02 2.86323701e-02 1.09495235e-01 1.96999190e-01 2.88700431e-01 3.82019951e-01 4.74309269e-01 5.61111714e-01 6.46632817e-01
3.00000000e-01 7.24137855e-01 7.78298613e-01 8.32433713e-01 8.68589978e-01 8.89224204e-01 8.93608737e-01 8.81374694e-01 8.52540263e-01 8.07553114e-01 7.47275980e-01 6.72945020e-01 5.86094604e-01 4.88523716e-01 3.82221734e-01 2.69320804e-01 1.52023424e-01 3.25477778e-02 -8.69353536e-02 -2.04354500e-01 -3.17789988e-01 -4.25514489e-01 -5.26034791e-01 -6.18112678e-01 -7.00795911e-01 -7.73412478e-01 -8.35589936e-01 -8.87221609e-01 -9.28471903e-01 -9.59719282e-01 -9.81525329e-01 -9.94912385e-01 -9.99717222e-01 -9.98409008e-01 -9.90697837e-01 -9.77803920e-01 -9.60616734e-01 -9.39803838e-01 -9.15948773e-01 -8.89495939e-01 -8.60724458e-01 -8.29763120e-01 -7.96580684e-01 -7.61016598e-01 -7.22787979e-01 -6.81532477e-01 -6.36828730e-01 -5.88245793e-01 -5.35371562e-01 -4.77861839e-01 -4.15470006e-01 -3.48088348e-01 -2.75772157e-01 -1.98766985e-01 -1.17521280e-01 -3.26957084e-02 5.48396839e-02 1.44014789e-01 2.33579463e-01 3.22129234e-01 4.08142266e-01 4.90016855e-01 5.66123575e-01 6.34848397e-01 6.94655955e-01 7.44132301e-01 7.82052215e-01 8.07419793e-01 8.19526791e-01 8.17977814e-01 8.02714207e-01 7.74032030e-01 7.32589527e-01 6.79411127e-01 6.15852897e-01 5.43581484e-01 4.64519267e-01 3.80806184e-01 2.94734170e-01 2.08692938e-01 1.25100007e-01 4.63369423e-02 -2.53204449e-02 -8.77676363e-02 -1.39136113e-01 -1.77851916e-01 -2.02687702e-01 -2.12804554e-01 -2.07782528e-01 -1.87637800e-01 -1.52825912e-01 -1.04231004e-01 -4.31409760e-02 2.87893369e-02 1.09586414e-01 1.97013632e-01 2.88635162e-01 3.81882892e-01 4.74090593e-01 5.58616590e-01 6.47939447e-01
4.00000000e-01 7.27775084e-01 7.75220773e-01 8.32175773e-01 8.68454090e-01 8.89094708e-01 8.93477638e-01 8.81234441e-01 8.52363875e-01 8.07309170e-01 7.46949091e-01 6.72548447e-01 5.85657435e-01 4.88090155e-01 3.81837481e-01 2.69029498e-01 1.51856829e-01 3.25229721e-02 -8.68190672e-02 -2.04113670e-01 -3.17454412e-01 -4.25120617e-01 -5.25622174e-01 -6.17715208e-01 -7.00442712e-01 -7.73119103e-01 -8.35365985e-01 -8.87062760e-01 -9.28371976e-01 -9.59659558e-01 -9.81483399e-01 -9.95059829e-01 -9.99505638e-01 -9.98450730e-01 -9.90726236e-01 -9.77785941e-01 -9.60590269e-01 -9.39770307e-01 -9.15906995e-01 -8.89447974e-01 -8.60668700e-01 -8.29700242e-01 -7.96507657e-01 -7.60932605e-01 -7.22689227e-01 -6.81417653e-01 -6.36694759e-01 -5.88092628e-01 -5.35198986e-01 -4.77673331e-01 -4.15270467e-01 -3.47886611e-01 -2.75579159e-01 -1.98596457e-01 -1.17387752e-01 -3.26134425e-02 5.48590477e-02 1.43963968e-01 2.33457622e-01 3.21942350e-01 4.07904045e-01 4.89745729e-01 5.65842453e-01 6.34577811e-01 6.94413986e-01 7.43926152e-01 7.81881067e-01 8.07272122e-01 8.19389501e-01 8.17837842e-01 8.02558117e-01 7.73846848e-01 7.32365252e-01 6.79150630e-01 6.15568936e-01 5.43299083e-01 4.64266370e-01 3.80611984e-01 2.94620981e-01 2.08674679e-01 1.25179141e-01 4.65061178e-02 -2.50762336e-02 -8.74668797e-02 -1.38797035e-01 -1.77489420e-01 -2.02312219e-01 -2.12422583e-01 -2.07398774e-01 -1.87257999e-01 -1.52459495e-01 -1.03892748e-01 -4.28507333e-02 2.90088593e-02 1.09713915e-01 1.97033852e-01 2.88543976e-01 3.81693420e-01 4.73755186e-01 5.55188501e-01 6.49731354e-01
5.00000000e-01 7.32371964e-01 7.71394943e-01 8.31787557e-01 8.68284243e-01 8.88928142e-01 8.93308833e-01 8.81053699e-01 8.52136689e-01 8.06995249e-01 7.46528808e-01 6.72038798e-01 5.85095967e-01 4.87533537e-01 3.81344382e-01 2.68655748e-01 1.51643115e-01 3.24911073e-02 -8.66699419e-02 -2.03804747e-01 -3.17023781e-01 -4.24615011e-01 -5.25092239e-01 -6.17204545e-01 -6.99988663e-01 -7.72741862e-01 -8.35077816e-01 -8.86858361e-01 -9.28243341e-01 -9.59580388e-01 -9.81436923e-01 -9.95237836e-01 -9.99244011e-01 -9.98497556e-01 -9.90765278e-01 -9.77762928e-01 -9.60555931e-01 -9.39727168e-01 -9.15853305e-01 -8.89386268e-01 -8.60597018e-01 -8.29619348e-01 -7.96413750e-01 -7.60824550e-01 -7.22562231e-01 -6.81269959e-01 -6.36522493e-01 -5.87895678e-01 -5.34977141e-01 -4.77431031e-01 -4.15014067e-01 -3.47627434e-01 -2.75331287e-01 -1.98377493e-01 -1.17216359e-01 -3.25078857e-02 5.48838352e-02 1.43898678e-01 2.33301165e-01 3.21702408e-01 4.07598147e-01 4.89397546e-01 5.65481306e-01 6.34230122e-01 6.94102910e-01 7.43661042e-01 7.81660826e-01 8.07082048e-01 8.19212757e-01 8.17657643e-01 8.02357215e-01 7.73608572e-01 7.32076871e-01 6.78815805e-01 6.15204163e-01 5.42936429e-01 4.63941750e-01 3.80362766e-01 2.94475789e-01 2.08651308e-01 1.25280780e-01 4.67233476e-02 -2.47625978e-02 -8.70805320e-02 -1.38361329e-01 -1.77023504e-01 -2.01829514e-01 -2.11931496e-01 -2.06905415e-01 -1.86769802e-01 -1.51988627e-01 -1.03458203e-01 -4.24779945e-02 2.92907072e-02 1.09877588e-01 1.97059850e-01 2.88427102e-01 3.81453540e-01 4.73275101e-01 5.50890725e-01 6.51972014e-01
6.00000000e-01 7.37870874e-01 7.66915329e-01 8.31229862e-01 8.68082989e-01 8.88724620e-01 8.93102125e-01 8.80832157e-01 8.51858407e-01 8.06611148e-01 7.46015134e-01 6.71416250e-01 5.84410656e-01 4.86854476e-01 3.80743140e-01 2.68200142e-01 1.51382639e-01 3.24522049e-02 -8.64882652e-02 -2.03428260e-01 -3.16498711e-01 -4.23998268e-01 -5.24445416e-01 -6.16580967e-01 -6.99433819e-01 -7.72280719e-01 -8.34725258e-01 -8.86608300e-01 -9.28085794e-01 -9.59480259e-01 -9.81390974e-01 -9.95438327e-01 -9.98939615e-01 -9.98544782e-01 -9.90816607e-01 -9.77735053e-01 -9.60513474e-01 -9.39674398e-01 -9.15787719e-01 -8.89310796e-01 -8.60509416e-01 -8.29520402e-01 -7.96298952e-01 -7.60692384e-01 -7.22406970e-01 -6.81089349e-01 -6.36311916e-01 -5.87654923e-01 -5.34706056e-01 -4.77134990e-01 -4.14700918e-01 -3.47310967e-01 -2.75028742e-01 -1.98110310e-01 -1.17007315e-01 -3.23791979e-02 5.49139653e-02 1.43818956e-01 2.33110236e-01 3.21409662e-01 4.07224862e-01 4.88972608e-01 5.65040356e-01 6.33805486e-01 6.93722749e-01 7.43336922e-01 7.81391349e-01 8.06849410e-01 8.18996388e-01 8.17437042e-01 8.02111338e-01 7.73317066e-01 7.31724366e-01 6.78406728e-01 6.14758818e-01 5.42493848e-01 4.63545806e-01 3.80058879e-01 2.94298844e-01 2.08622903e-01 1.25404842e-01 4.69884223e-02 -2.43797990e-02 -8.66088469e-02 -1.37829185e-01 -1.76454280e-01 -2.01239629e-01 -2.11331305e-01 -2.06302481e-01 -1.86173297e-01 -1.51413490e-01 -1.02927635e-01 -4.20230807e-02 2.96345856e-02 1.10077242e-01 1.97091628e-01 2.88284881e-01 3.81165281e-01 4.72616240e-01 5.45802093e-01 6.54615666e-01
7.00000000e-01 7.44203597e-01 7.61892394e-01 8.30458236e-01 8.67852300e-01 8.88484448e-01 8.92857261e-01 8.80569435e-01 8.51528662e-01 8.06156615e-01 7.45408072e-01 6.70681019e-01 5.83602056e-01 4.86053719e-01 3.80034608e-01 2.67663392e-01 1.51075835e-01 3.24062914e-02 -8.62743869e-02 -2.02984856e-01 -3.15879952e-01 -4.23271115e-01 -5.23682230e-01 -6.15844811e-01 -6.98778244e-01 -7.71735632e-01 -8.34308107e-01 -8.86312448e-01 -9.27899002e-01 -9.59357609e-01 -9.81351228e-01 -9.95652061e-01 -9.98600772e-01 -9.98587090e-01 -9.90881968e-01 -9.77702628e-01 -9.60462590e-01 -9.39611959e-01 -9.15710258e-01 -8.89221528e-01 -8.60405897e-01 -8.29403358e-01 -7.96163249e-01 -7.60536052e-01 -7.22223415e-01 -6.80875768e-01 -6.36063011e-01 -5.87370344e-01 -5.34385766e-01 -4.76785272e-01 -4.14331155e-01 -3.46937392e-01 -2.74671770e-01 -1.97795170e-01 -1.16760879e-01 -3.22275737e-02 5.49493400e-02 1.43724848e-01 2.32885014e-01 3.21064420e-01 4.06784544e-01 4.88471283e-01 5.64519876e-01 6.33304091e-01 6.93273532e-01 7.42953735e-01 7.81072464e-01 8.06574014e-01 8.18740184e-01 8.17175824e-01 8.01820290e-01 7.72972163e-01 7.31307712e-01 6.77923494e-01 6.14233191e-01 5.41971736e-01 4.63079022e-01 3.79700747e-01 2.94090450e-01 2.08589559e-01 1.25551233e-01 4.73010875e-02 -2.39281554e-02 -8.60521327e-02 -1.37200833e-01 -1.75781885e-01 -2.00542622e-01 -2.10622031e-01 -2.05590010e-01 -1.85468595e-01 -1.50734304e-01 -1.02301369e-01 -4.14863827e-02 3.00401361e-02 1.10312645e-01 1.97129187e-01 2.88117794e-01 3.80830314e-01 4.71739648e-01 5.40015181e-01 6.57608172e-01
8.00000000e-01 7.51292577e-01 7.56450234e-01 8.29424866e-01 8.67592971e-01 8.88208192e-01 8.92573934e-01 8.80265085e-01 8.51147021e-01 8.05631360e-01 7.44707625e-01 6.69833368e-01 5.82670820e-01 4.85132149e-01 3.79219788e-01 2.67046339e-01 1.50723212e-01 3.23533987e-02 -8.60287172e-02 -2.02475292e-01 -3.15168387e-01 -4.22434406e-01 -5.22803306e-01 -6.14996477e-01 -6.98022024e-01 -7.71106546e-01 -8.33826126e-01 -8.85970666e-01 -9.27682456e-01 -9.59210972e-01 -9.81323676e-01 -9.95868976e-01 -9.98236547e-01 -9.98618782e-01 -9.90963066e-01 -9.77666150e-01 -9.60402906e-01 -9.39539800e-01 -9.15620948e-01 -8.89118430e-01 -8.60286463e-01 -8.29268166e-01 -7.96006620e-01 -7.60355488e-01 -7.22011532e-01 -6.80629152e-01 -6.35775756e-01 -5.87041917e-01 -5.34016310e-01 -4.76381952e-01 -4.13904939e-01 -3.46506927e-01 -2.74260658e-01 -1.97432383e-01 -1.16477357e-01 -3.20532423e-02 5.49898446e-02 1.43616408e-01 2.32625707e-01 3.20667040e-01 4.06277609e-01 4.87894007e-01 5.63920189e-01 6.32726160e-01 6.92755294e-01 7.42511411e-01 7.80703965e-01 8.06255628e-01 8.18443898e-01 8.16873736e-01 8.01483835e-01 7.72573670e-01 7.30826880e-01 6.77366217e-01 6.13627625e-01 5.41370562e-01 4.62541968e-01 3.79288872e-01 2.93850963e-01 2.08551390e-01 1.25719838e-01 4.76610452e-02 -2.34080411e-02 -8.54107525e-02 -1.36476547e-01 -1.75006484e-01 -1.99738558e-01 -2.09803694e-01 -2.04768048e-01 -1.84655824e-01 -1.49951331e-01 -1.01579789e-01 -4.08683596e-02 3.05069374e-02 1.10583527e-01 1.97172531e-01 2.87926486e-01 3.80449539e-01 4.70603000e-01 5.33634196e-01 6.60888029e-01
9.00000000e-01 7.59052325e-01 7.50723651e-01 8.28080662e-01 8.67304003e-01 8.87896738e-01 8.92251788e-01 8.79918590e-01 8.50712989e-01 8.05035049e-01 7.43913800e-01 6.68873603e-01 5.81617697e-01 4.84090781e-01 3.78299827e-01 2.66349943e-01 1.50325349e-01 3.22935645e-02 -8.57517258e-02 -2.01900433e-01 -3.14365026e-01 -4.21489122e-01 -5.21809362e-01 -6.14036423e-01 -6.97165261e-01 -7.70393402e-01 -8.33279048e-01 -8.85582799e-01 -9.27435441e-01 -9.59039138e-01 -9.81314321e-01 -9.96078561e-01 -9.97856414e-01 -9.98634029e-01 -9.91061421e-01 -9.77626349e-01 -9.60333987e-01 -9.39457851e-01 -9.15519817e-01 -8.89001467e-01 -8.60151115e-01 -8.29114772e-01 -7.95829039e-01 -7.60150617e-01 -7.21771279e-01 -6.80349429e-01 -6.35450123e-01 -5.86669617e-01 -5.33597734e-01 -4.75925121e-01 -4.13422456e-01 -3.46019821e-01 -2.73795737e-01 -1.97022305e-01 -1.16157099e-01 -3.18564666e-02 5.50353480e-02 1.43493697e-01 2.32332559e-01 3.20217938e-01 4.05704536e-01 4.87241274e-01 5.63241667e-01 6.32071948e-01 6.92168079e-01 7.42009871e-01 7.80285621e-01 8.05893987e-01 8.18107245e-01 8.16530488e-01 8.01101706e-01 7.72121366e-01 7.30281835e-01 6.76735032e-01 6.12942513e-01 5.40690868e-01 4.61935296e-01 3.78823829e-01 2.93580792e-01 2.08508527e-01 1.25910529e-01 4.80679547e-02 -2.28198850e-02 -8.46851227e-02 -1.35656639e-01 -1.74128265e-01 -1.98827514e-01 -2.08876325e-01 -2.03836650e-01 -1.83735139e-01 -1.49064870e-01 -1.00763333e-01 -4.01695375e-02 3.10345070e-02 1.10889578e-01 1.97221671e-01 2.87711780e-01 3.80022636e-01 4.69162256e-01 5.26772601e-01 6.64387515e-01
