# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 -2.13766672e-01 -2.00050541e-01 -2.26001867e-01 -2.92328892e-01 -3.90890741e-01 -5.06210324e-01 -6.19117880e-01 -7.11747528e-01 -7.71723347e-01 -7.93919571e-01 -7.79520690e-01 -7.33338550e-01 -6.60238123e-01 -5.62745981e-01 -4.40936179e-01 -2.93903153e-01 -1.22255872e-01 6.93948092e-02 2.71728914e-01 4.71682655e-01 6.54775770e-01 8.07689286e-01 9.19934663e-01 9.84985890e-01 1.00000000e+00 9.65823780e-01 8.87056906e-01 7.72517429e-01 6.35952118e-01 4.95254929e-01 3.70121951e-01 2.78652985e-01 2.33527779e-01 2.38349360e-01 2.87128620e-01 3.65789618e-01 4.55563677e-01 5.37529102e-01 5.96521882e-01 6.23431010e-01 6.15741064e-01 5.77023266e-01 5.15198244e-01 4.40671611e-01 3.64790938e-01 2.97523479e-01 2.45931267e-01 2.13230454e-01 1.98553194e-01 1.98097692e-01 2.07204859e-01 2.22015580e-01 2.40770769e-01 2.64056619e-01 2.93821175e-01 3.32391634e-01 3.80877026e-01 4.38668713e-01 5.03230783e-01 5.70276628e-01 6.34804698e-01 6.91713186e-01 7.36702249e-01 7.67066728e-01 7.81554679e-01 7.80125953e-01 7.64070926e-01 7.34985477e-01 6.95322408e-01 6.48248623e-01 5.97671548e-01 5.48074666e-01 5.04193725e-01 4.70651404e-01 4.50942181e-01 4.47043534e-01 4.59033746e-01 4.84629222e-01 5.18994401e-01 5.54883030e-01 5.83073464e-01 5.93719672e-01 5.78020570e-01 5.30457351e-01 4.50636987e-01 3.43929268e-01 2.20470029e-01 9.28375442e-02 -2.76538685e-02 -1.33582540e-01 -2.23222265e-01 -3.00056655e-01 -3.70766521e-01 -4.42583181e-01 -5.20899180e-01 -6.07837168e-01 -7.02367106e-01 -8.00722093e-01 -8.97843476e-01 -9.88813207e-01
1.00000000e-01 -2.13970212e-01 -1.99938732e-01 -2.26138827e-01 -2.92421889e-01 -3.90911658e-01 -5.06161436e-01 -6.19031222e-01 -7.11658129e-01 -7.71644503e-01 -7.93852225e-01 -7.79462226e-01 -7.33275317e-01 -6.60155001e-01 -5.62636085e-01 -4.40803658e-01 -2.93768333e-01 -1.22158916e-01 6.94088970e-02 2.71637119e-01 4.71507251e-01 6.54577229e-01 8.07532006e-01 9.19881799e-01 9.85033411e-01 9.99765655e-01 9.65950136e-01 8.86946962e-01 7.72395091e-01 6.35852782e-01 4.95230673e-01 3.70192591e-01 2.78797790e-01 2.33700198e-01 2.38500900e-01 2.87221865e-01 3.65808971e-01 4.55520291e-01 5.37450124e-01 5.96431316e-01 6.23341986e-01 6.15660429e-01 5.76954935e-01 5.15148910e-01 4.40651999e-01 3.64806126e-01 2.97568895e-01 2.45993849e-01 2.13293501e-01 1.98604017e-01 1.98131964e-01 2.07224980e-01 2.22029002e-01 2.40785752e-01 2.64077513e-01 2.93848416e-01 3.32419610e-01 3.80898585e-01 4.38677273e-01 5.03222360e-01 5.70253522e-01 6.34771893e-01 6.91677289e-01 7.36668580e-01 7.67036879e-01 7.81527571e-01 7.80101752e-01 7.64046464e-01 7.34960976e-01 6.95299299e-01 6.48230576e-01 5.97663674e-01 5.48081173e-01 5.04217171e-01 4.70689021e-01 4.50988528e-01 4.47090871e-01 4.59072965e-01 4.84652142e-01 5.18995709e-01 5.54860472e-01 5.83027455e-01 5.93650552e-01 5.77930249e-01 5.30351889e-01 4.50530423e-01 3.43844759e-01 2.20431804e-01 9.28526296e-02 -2.75988160e-02 -1.33514338e-01 -2.23164945e-01 -3.00022490e-01 -3.70754513e-01 -4.42582360e-01 -5.20893661e-01 -6.07814162e-01 -7.02316599e-01 -8.00609931e-01 -8.97940772e-01 -9.88686261e-01
2.00000000e-01 -2.14579007e-01 -1.99607057e-01 -2.26547346e-01 -2.92700679e-01 -3.90974479e-01 -5.06015101e-01 -6.18771563e-01 -7.11390018e-01 -7.71407913e-01 -7.93650102e-01 -7.79286708e-01 -7.33085502e-01 -6.59905564e-01 -5.62306411e-01 -4.40406293e-01 -2.93364316e-01 -1.21868546e-01 6.94509868e-02 2.71362133e-01 4.70981744e-01 6.53981988e-01 8.07059979e-01 9.19724955e-01 9.85171174e-01 9.99068681e-01 9.66322879e-01 8.86620860e-01 7.72027361e-01 6.35555321e-01 4.95158195e-01 3.70404391e-01 2.79231800e-01 2.34217017e-01 2.38955186e-01 2.87501477e-01 3.65867163e-01 4.55390402e-01 5.37213396e-01 5.96159686e-01 6.23074914e-01 6.15418516e-01 5.76749995e-01 5.15001019e-01 4.40593234e-01 3.64851674e-01 2.97705040e-01 2.46181452e-01 2.13482531e-01 1.98756446e-01 1.98234798e-01 2.07285402e-01 2.22069334e-01 2.40830734e-01 2.64140195e-01 2.93930091e-01 3.32503479e-01 3.80963210e-01 4.38702930e-01 5.03197124e-01 5.70184256e-01 6.34673532e-01 6.91569636e-01 7.36567575e-01 7.66947312e-01 7.81446238e-01 7.80029116e-01 7.63973076e-01 7.34887482e-01 6.95230001e-01 6.48176478e-01 5.97640091e-01 5.48100722e-01 5.04287488e-01 4.70801830e-01 4.51127504e-01 4.47232806e-01 4.59190557e-01 4.84720866e-01 5.18999627e-01 5.54792814e-01 5.82889427e-01 5.93443174e-01 5.77659285e-01 5.30035586e-01 4.50210939e-01 3.43591491e-01 2.20317238e-01 9.28977817e-02 -2.74339073e-02 -1.33309952e-01 -2.22993092e-01 -2.99919978e-01 -3.70718393e-01 -4.42579773e-01 -5.20877032e-01 -6.07745196e-01 -7.02164289e-01 -8.00276509e-01 -8.98228740e-01 -9.88307127e-01
3.00000000e-01 -2.15587628e-01 -1.99066678e-01 -2.27220414e-01 -2.93164641e-01 -3.91079421e-01 -5.05772303e-01 -6.18339851e-01 -7.10943461e-01 -7.71013408e-01 -7.93312949e-01 -7.78993751e-01 -7.32768762e-01 -6.59489599e-01 -5.61756996e-01 -4.39744673e-01 -2.92692438e-01 -1.21386255e-01 6.95205607e-02 2.70905146e-01 4.70108247e-01 6.52991185e-01 8.06272692e-01 9.19469269e-01 9.85384966e-01 9.97927036e-01 9.66923249e-01 8.86089632e-01 7.71412168e-01 6.35061352e-01 4.95038358e-01 3.70756998e-01 2.79953804e-01 2.35076921e-01 2.39711218e-01 2.87967087e-01 3.65964590e-01 4.55174816e-01 5.36819540e-01 5.95707203e-01 6.22629784e-01 6.15015309e-01 5.76408608e-01 5.14754906e-01 4.40495532e-01 3.64927528e-01 2.97931606e-01 2.46493648e-01 2.13797211e-01 1.99010361e-01 1.98406248e-01 2.07386308e-01 2.22136777e-01 2.40905818e-01 2.64244666e-01 2.94066051e-01 3.32643060e-01 3.81070752e-01 4.38745616e-01 5.03155171e-01 5.70068981e-01 6.34509785e-01 6.91390341e-01 7.36399249e-01 7.66797967e-01 7.81310659e-01 7.79907948e-01 7.63850760e-01 7.34765019e-01 6.95114600e-01 6.48086461e-01 5.97600919e-01 5.48133401e-01 5.04404628e-01 4.70989704e-01 4.51358914e-01 4.47469112e-01 4.59386331e-01 4.84835293e-01 5.19006147e-01 5.54680107e-01 5.82659376e-01 5.93097485e-01 5.77207675e-01 5.29508697e-01 4.49679157e-01 3.43170236e-01 2.20126656e-01 9.29726891e-02 -2.71598873e-02 -1.32970049e-01 -2.22707023e-01 -2.99749071e-01 -3.70657871e-01 -4.42575045e-01 -5.20849080e-01 -6.07630408e-01 -7.01907869e-01 -7.99730917e-01 -8.98695726e-01 -9.87680886e-01
4.00000000e-01 -2.16987156e-01 -1.98335907e-01 -2.28146572e-01 -2.93812690e-01 -3.91226845e-01 -5.05434674e-01 -6.17737660e-01 -7.10318901e-01 -7.70460705e-01 -7.92840344e-01 -7.78582716e-01 -7.32324525e-01 -6.58906754e-01 -5.60987909e-01 -4.38819785e-01 -2.91754916e-01 -1.20714515e-01 6.96167628e-02 2.70268130e-01 4.68890259e-01 6.51606692e-01 8.05169436e-01 9.19122941e-01 9.85651695e-01 9.96369920e-01 9.67720711e-01 8.85371138e-01 7.70546313e-01 6.34373489e-01 4.94872602e-01 3.71249823e-01 2.80961789e-01 2.36277725e-01 2.40767331e-01 2.88618084e-01 3.66101910e-01 4.54874869e-01 5.36269590e-01 5.95074219e-01 6.22006586e-01 6.14450779e-01 5.75931043e-01 5.14411128e-01 4.40359250e-01 3.65033600e-01 2.98248079e-01 2.46929724e-01 2.14236987e-01 1.99365563e-01 1.98646404e-01 2.07527998e-01 2.22231664e-01 2.41011170e-01 2.64390930e-01 2.94256053e-01 3.32838056e-01 3.81220962e-01 4.38805217e-01 5.03096664e-01 5.69907951e-01 6.34280932e-01 6.91139593e-01 7.36163624e-01 7.66588743e-01 7.81120796e-01 7.79738085e-01 7.63679512e-01 7.34593630e-01 6.94953239e-01 6.47960743e-01 5.97546357e-01 5.48179351e-01 5.04568504e-01 4.71252427e-01 4.51682436e-01 4.47799412e-01 4.59659968e-01 4.84995253e-01 5.19015249e-01 5.54522430e-01 5.82337293e-01 5.92613400e-01 5.76575416e-01 5.28771644e-01 4.48936114e-01 3.42582275e-01 2.19860596e-01 9.30768348e-02 -2.67779915e-02 -1.32495732e-01 -2.22307267e-01 -2.99509689e-01 -3.70572469e-01 -4.42567558e-01 -5.20809453e-01 -6.07469983e-01 -7.01543666e-01 -7.98987960e-01 -8.99322658e-01 -9.86815864e-01
5.00000000e-01 -2.18765370e-01 -1.97439763e-01 -2.29310250e-01 -2.94643193e-01 -3.91417250e-01 -5.05004479e-01 -6.16967181e-01 -7.09516966e-01 -7.69749420e-01 -7.92231692e-01 -7.78052712e-01 -7.31751991e-01 -6.58156539e-01 -5.59999253e-01 -4.37633015e-01 -2.90554837e-01 -1.19856757e-01 6.97384104e-02 2.69453818e-01 4.67332640e-01 6.49831076e-01 8.03749530e-01 9.18696704e-01 9.85940264e-01 9.94436699e-01 9.68674014e-01 8.84489297e-01 7.69425828e-01 6.33495242e-01 4.94662941e-01 3.71882048e-01 2.82252955e-01 2.37816379e-01 2.42121203e-01 2.89453610e-01 3.66280032e-01 4.54492419e-01 5.35564987e-01 5.94261232e-01 6.21205311e-01 6.13724891e-01 5.75317676e-01 5.13970457e-01 4.40184884e-01 3.65169767e-01 2.98653743e-01 2.47488689e-01 2.14801085e-01 1.99821771e-01 1.98955390e-01 2.07710894e-01 2.22354459e-01 2.41147029e-01 2.64578989e-01 2.94499757e-01 3.33088049e-01 3.81413493e-01 4.38881577e-01 5.03021823e-01 5.69701519e-01 6.33987366e-01 6.90817658e-01 7.35860732e-01 7.66319505e-01 7.80876594e-01 7.79519306e-01 7.63459326e-01 7.34373376e-01 6.94746118e-01 6.47799628e-01 5.97476686e-01 5.48238770e-01 5.04778999e-01 4.71589700e-01 4.52097616e-01 4.48223179e-01 4.60011020e-01 4.85200510e-01 5.19026908e-01 5.54319894e-01 5.81923168e-01 5.91990796e-01 5.75762511e-01 5.27825025e-01 4.47983258e-01 3.41829386e-01 2.19519806e-01 9.32094994e-02 -2.62899381e-02 -1.31888542e-01 -2.21794567e-01 -2.99201726e-01 -3.70461518e-01 -4.42556449e-01 -5.20757668e-01 -6.07264088e-01 -7.01066886e-01 -7.98067658e-01 -9.00083553e-01 -9.85723431e-01
6.00000000e-01 -2.20907011e-01 -1.96409383e-01 -2.30692224e-01 -2.95653878e-01 -3.91651274e-01 -5.04484602e-01 -6.16031208e-01 -7.08538472e-01 -7.68879071e-01 -7.91486234e-01 -7.77402595e-01 -7.31050134e-01 -6.57238332e-01 -5.58791175e-01 -4.36186155e-01 -2.89096149e-01 -1.18817342e-01 6.98840090e-02 2.68465683e-01 4.65441567e-01 6.47667559e-01 8.02012599e-01 9.18203123e-01 9.86212748e-01 9.92175461e-01 9.69732624e-01 8.83473058e-01 7.68046460e-01 6.32430864e-01 4.94411951e-01 3.72652635e-01 2.83823733e-01 2.39688977e-01 2.43769860e-01 2.90472573e-01 3.66500116e-01 4.54029831e-01 5.34707578e-01 5.93268891e-01 6.20225953e-01 6.12837608e-01 5.74568990e-01 5.13433873e-01 4.39973067e-01 3.65335871e-01 2.99147684e-01 2.48169274e-01 2.15488517e-01 2.00378623e-01 1.99333365e-01 2.07935531e-01 2.22505753e-01 2.41313698e-01 2.64808843e-01 2.94796732e-01 3.33392507e-01 3.81647900e-01 4.38974498e-01 5.02930932e-01 5.69450137e-01 6.33629587e-01 6.90424875e-01 7.35490615e-01 7.65990080e-01 7.80577976e-01 7.79251329e-01 7.63190188e-01 7.34104337e-01 6.94493495e-01 6.47603507e-01 5.97392262e-01 5.48311908e-01 5.05035962e-01 4.72001141e-01 4.52603876e-01 4.48739737e-01 4.60438917e-01 4.85450756e-01 5.19041090e-01 5.54072637e-01 5.81416987e-01 5.91229525e-01 5.74768971e-01 5.26669612e-01 4.46822441e-01 3.40913835e-01 2.19105240e-01 9.33697656e-02 -2.56979158e-02 -1.31150450e-01 -2.21169875e-01 -2.98825047e-01 -3.70324165e-01 -4.42540617e-01 -5.20693123e-01 -6.07012789e-01 -7.00471954e-01 -7.96994563e-01 -9.00946218e-01 -9.84417722e-01
7.00000000e-01 -2.23394106e-01 -1.95281283e-01 -2.32270173e-01 -2.96841702e-01 -3.91929685e-01 -5.03878520e-01 -6.14933125e-01 -7.07384432e-01 -7.67849092e-01 -7.90603034e-01 -7.76630974e-01 -7.30217698e-01 -6.56151376e-01 -5.57363879e-01 -4.34481412e-01 -2.87383634e-01 -1.17601521e-01 7.00517712e-02 2.67307901e-01 4.63224478e-01 6.45119964e-01 7.99958922e-01 9.17655740e-01 9.86425825e-01 9.89641249e-01 9.70838482e-01 8.82355140e-01 7.66404250e-01 6.31185188e-01 4.94122768e-01 3.73560327e-01 2.85669801e-01 2.41890772e-01 2.45709686e-01 2.91673639e-01 3.66763552e-01 4.53489964e-01 5.33699608e-01 5.92098000e-01 6.19068522e-01 6.11788894e-01 5.73685575e-01 5.12802563e-01 4.39724561e-01 3.65531718e-01 2.99728791e-01 2.48969944e-01 2.16298079e-01 2.01035675e-01 1.99780518e-01 2.08202560e-01 2.22686265e-01 2.41511548e-01 2.65080493e-01 2.95146454e-01 3.33750780e-01 3.81923641e-01 4.39083739e-01 5.02824329e-01 5.69154358e-01 6.33208206e-01 6.89961656e-01 7.35053327e-01 7.65600262e-01 7.80224844e-01 7.78933821e-01 7.62872081e-01 7.33786611e-01 6.94195684e-01 6.47372854e-01 5.97293522e-01 5.48399066e-01 5.05339214e-01 4.72486279e-01 4.53200509e-01 4.49348265e-01 4.60942963e-01 4.85745619e-01 5.19057749e-01 5.53780821e-01 5.80818730e-01 5.90329406e-01 5.73594822e-01 5.25306361e-01 4.45455918e-01 3.39838353e-01 2.18618048e-01 9.35565235e-02 -2.50045694e-02 -1.30283847e-01 -2.20434356e-01 -2.98379499e-01 -3.70159378e-01 -4.42518729e-01 -5.20615100e-01 -6.06715946e-01 -6.99752917e-01 -7.95796924e-01 -9.01873114e-01 -9.82915294e-01
8.00000000e-01 -2.26206347e-01 -1.94096489e-01 -2.34019332e-01 -2.98202727e-01 -3.92253366e-01 -5.03190278e-01 -6.13676886e-01 -7.06056064e-01 -7.66658841e-01 -7.89580989e-01 -7.75736211e-01 -7.29253206e-01 -6.54894795e-01 -5.55717633e-01 -4.32521410e-01 -2.85422891e-01 -1.16215392e-01 7.02396397e-02 2.65985319e-01 4.60690011e-01 6.42192669e-01 7.97589796e-01 9.17068111e-01 9.86532414e-01 9.86894039e-01 9.71928007e-01 8.81170600e-01 7.64496185e-01 6.29763443e-01 4.93799061e-01 3.74603664e-01 2.87786116e-01 2.44416189e-01 2.47936433e-01 2.93055246e-01 3.67071955e-01 4.52876146e-01 5.32543715e-01 5.90749529e-01 6.17733046e-01 6.10578721e-01 5.72668128e-01 5.12077901e-01 4.39440256e-01 3.65757078e-01 3.00395762e-01 2.49888898e-01 2.17228359e-01 2.01792399e-01 2.00297072e-01 2.08512739e-01 2.22896834e-01 2.41741018e-01 2.65393935e-01 2.95548315e-01 3.34162109e-01 3.82240082e-01 4.39209024e-01 5.02702405e-01 5.68814829e-01 6.32723937e-01 6.89428488e-01 7.34548931e-01 7.65149819e-01 7.79817076e-01 7.78566399e-01 7.62504978e-01 7.33420318e-01 6.93853055e-01 6.47108224e-01 5.97180978e-01 5.48500589e-01 5.05688546e-01 4.73044562e-01 4.53886681e-01 4.50047797e-01 4.61522340e-01 4.86084658e-01 5.19076830e-01 5.53444625e-01 5.80128375e-01 5.89290238e-01 5.72240114e-01 5.23736411e-01 4.43886335e-01 3.38606119e-01 2.18059567e-01 9.37684775e-02 -2.42129816e-02 -1.29291539e-01 -2.19589385e-01 -2.97864907e-01 -3.69965947e-01 -4.42489229e-01 -5.20522779e-01 -6.06373115e-01 -6.98903901e-01 -7.94505719e-01 -9.02822354e-01 -9.81234722e-01
9.00000000e-01 -2.29321522e-01 -1.92899574e-01 -2.35913212e-01 -2.99731980e-01 -3.92623306e-01 -5.02424456e-01 -6.12266993e-01 -7.04554801e-01 -7.65307620e-01 -7.88418826e-01 -7.74716430e-01 -7.28154955e-01 -6.53467592e-01 -5.53852790e-01 -4.30309203e-01 -2.83220305e-01 -1.14665845e-01 7.04453129e-02 2.64503406e-01 4.57847914e-01 6.38890569e-01 7.94907932e-01 9.16452784e-01 9.86483444e-01 9.83996537e-01 9.72934292e-01 8.79955284e-01 7.62320875e-01 6.28171069e-01 4.93445010e-01 3.75780994e-01 2.90166937e-01 2.47258845e-01 2.50445236e-01 2.94615600e-01 3.67427149e-01 4.52192156e-01 5.31242918e-01 5.89224618e-01 6.16219581e-01 6.09207077e-01 5.71517451e-01 5.11261448e-01 4.39121160e-01 3.66011685e-01 3.01147108e-01 2.50924082e-01 2.18277740e-01 2.02648183e-01 2.00883278e-01 2.08866935e-01 2.23138416e-01 2.42002613e-01 2.65749160e-01 2.96001626e-01 3.34625621e-01 3.82596493e-01 4.39350039e-01 5.02565601e-01 5.68432293e-01 6.32177599e-01 6.88825928e-01 7.33977506e-01 7.64638492e-01 7.79354516e-01 7.78148635e-01 7.62088841e-01 7.33005601e-01 6.93466033e-01 6.46810254e-01 5.97055222e-01 5.48616867e-01 5.06083722e-01 4.73675352e-01 4.54661437e-01 4.50837227e-01 4.62176112e-01 4.86467362e-01 5.19098266e-01 5.53064248e-01 5.79345895e-01 5.88111796e-01 5.70704930e-01 5.21961096e-01 4.42116725e-01 3.37220738e-01 2.17431318e-01 9.40041541e-02 -2.33266531e-02 -1.28176732e-01 -2.18636548e-01 -2.97281090e-01 -3.69742497e-01 -4.42450347e-01 -5.20415238e-01 -6.05983433e-01 -6.97919601e-01 -7.93153592e-01 -9.03748827e-01 -9.79396147e-01
