# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 -1.92198523e-01 -1.64251326e-01 -1.34508301e-01 -1.03697142e-01 -7.28206734e-02 -4.31442177e-02 -1.61590177e-02 6.47733800e-03 2.30208437e-02 3.17371602e-02 3.10083332e-02 1.94436330e-02 -4.01258493e-03 -3.99832431e-02 -8.85780420e-02 -1.49336229e-01 -2.21197560e-01 -3.02504834e-01 -3.91039554e-01 -4.84090327e-01 -5.78551598e-01 -6.71048434e-01 -7.58081379e-01 -8.36184026e-01 -9.02085006e-01 -9.52865619e-01 -9.86104336e-01 -1.00000000e+00 -9.93466536e-01 -9.66193536e-01 -9.18668850e-01 -8.52161466e-01 -7.68665111e-01 -6.70805274e-01 -5.61714392e-01 -4.44881758e-01 -3.23986191e-01 -2.02720459e-01 -8.46169776e-02 2.71158181e-02 1.29737581e-01 2.21092954e-01 2.99695129e-01 3.64771831e-01 4.16271659e-01 4.54830988e-01 4.81703844e-01 4.98659309e-01 5.07852764e-01 5.11678752e-01 5.12614197e-01 5.13061142e-01 5.15198112e-01 5.20848544e-01 5.31373636e-01 5.47595414e-01 5.69753978e-01 5.97500787e-01 6.29927723e-01 6.65629553e-01 7.02795464e-01 7.39323727e-01 7.72952251e-01 8.01397000e-01 8.22489907e-01 8.34308146e-01 8.35287275e-01 8.24311889e-01 8.00778942e-01 7.64630605e-01 7.16355471e-01 6.56958850e-01 5.87904760e-01 5.11033860e-01 4.28462958e-01 3.42472669e-01 2.55390359e-01 1.69475584e-01 8.68148491e-02 9.23171132e-03 -6.17829233e-02 -1.25116920e-01 -1.80057700e-01 -2.26287663e-01 -2.63855886e-01 -2.93129298e-01 -3.14727765e-01 -3.29448536e-01 -3.38186013e-01 -3.41852982e-01 -3.41309150e-01 -3.37302159e-01 -3.30425176e-01 -3.21093887e-01 -3.09544160e-01 -2.95850096e-01 -2.79960587e-01 -2.61751078e-01 -2.41086041e-01 -2.17886755e-01
1.00000000e-01 -1.92328114e-01 -1.64012807e-01 -1.34503360e-01 -1.03696183e-01 -7.28246555e-02 -4.31540148e-02 -1.61752165e-02 6.45450354e-03 2.29914918e-02 3.17017629e-02 3.09677155e-02 1.93990479e-02 -4.05933227e-03 -4.00296368e-02 -8.86207674e-02 -1.49371305e-01 -2.21220720e-01 -3.02512375e-01 -3.91029144e-01 -4.84062230e-01 -5.78508743e-01 -6.70996983e-01 -7.58028672e-01 -8.36138251e-01 -9.02051348e-01 -9.52838830e-01 -9.86164800e-01 -9.99901755e-01 -9.93492678e-01 -9.66188940e-01 -9.18635269e-01 -8.52108344e-01 -7.68596465e-01 -6.70728873e-01 -5.61641407e-01 -4.44822576e-01 -3.23949111e-01 -2.02709315e-01 -8.46312216e-02 2.70806437e-02 1.29688144e-01 2.21036495e-01 2.99637930e-01 3.64718502e-01 4.16224894e-01 4.54792049e-01 4.81672982e-01 4.98636382e-01 5.07837442e-01 5.11670686e-01 5.12612903e-01 5.13065894e-01 5.15207795e-01 5.20861637e-01 5.31388234e-01 5.47609481e-01 5.69765474e-01 5.97508151e-01 6.29929891e-01 6.65626491e-01 7.02787755e-01 7.39312867e-01 7.72939603e-01 8.01383807e-01 8.22476292e-01 8.34293682e-01 8.35271099e-01 8.24292908e-01 8.00755779e-01 7.64601654e-01 7.16320500e-01 6.56918976e-01 5.87863201e-01 5.10994536e-01 4.28430281e-01 3.42450091e-01 2.55380130e-01 1.69478161e-01 8.68291764e-02 9.25550326e-03 -6.17525612e-02 -1.25082982e-01 -1.80022827e-01 -2.26253926e-01 -2.63824689e-01 -2.93101465e-01 -3.14703628e-01 -3.29428093e-01 -3.38169007e-01 -3.41838998e-01 -3.41297659e-01 -3.37292558e-01 -3.30416835e-01 -3.21086179e-01 -3.09536531e-01 -2.95842100e-01 -2.79951959e-01 -2.61741626e-01 -2.40817236e-01 -2.18228318e-01
2.00000000e-01 -1.92714359e-01 -1.63301623e-01 -1.34486714e-01 -1.03693327e-01 -7.28366092e-02 -4.31834106e-02 -1.62238145e-02 6.38600147e-03 2.29034405e-02 3.15955779e-02 3.08458726e-02 1.92653083e-02 -4.19955119e-03 -4.01687858e-02 -8.87489045e-02 -1.49476494e-01 -2.21290171e-01 -3.02534988e-01 -3.90997933e-01 -4.83977987e-01 -5.78380251e-01 -6.70842692e-01 -7.57870599e-01 -8.36000965e-01 -9.01949856e-01 -9.52760169e-01 -9.86343384e-01 -9.99609766e-01 -9.93569012e-01 -9.66176038e-01 -9.18534376e-01 -8.51948916e-01 -7.68390557e-01 -6.70499755e-01 -5.61422561e-01 -4.44645140e-01 -3.23837941e-01 -2.02675898e-01 -8.46739125e-02 2.69751939e-02 1.29539918e-01 2.20867187e-01 2.99466377e-01 3.64558535e-01 4.16084602e-01 4.54675228e-01 4.81580387e-01 4.98567594e-01 5.07791471e-01 5.11646482e-01 5.12609018e-01 5.13080142e-01 5.15236834e-01 5.20900899e-01 5.31432011e-01 5.47651664e-01 5.69799950e-01 5.97530236e-01 6.29936396e-01 6.65617314e-01 7.02764643e-01 7.39280297e-01 7.72901669e-01 8.01344229e-01 8.22435445e-01 8.34250281e-01 8.35222559e-01 8.24235950e-01 8.00686272e-01 7.64514792e-01 7.16215589e-01 6.56799375e-01 5.87738557e-01 5.10876607e-01 4.28332290e-01 3.42382387e-01 2.55349456e-01 1.69485884e-01 8.68721365e-02 9.32684935e-03 -6.16615065e-02 -1.24981195e-01 -1.79918229e-01 -2.26152727e-01 -2.63731103e-01 -2.93017969e-01 -3.14631218e-01 -3.29366761e-01 -3.38117984e-01 -3.41797042e-01 -3.41263182e-01 -3.37263750e-01 -3.30391806e-01 -3.21063050e-01 -3.09513642e-01 -2.95818107e-01 -2.79926112e-01 -2.61711267e-01 -2.40016511e-01 -2.19249289e-01
3.00000000e-01 -1.93349727e-01 -1.62130796e-01 -1.34452953e-01 -1.03688616e-01 -7.28565566e-02 -4.32324197e-02 -1.63048162e-02 6.27183577e-03 2.27567019e-02 3.14186253e-02 3.06428354e-02 1.90424614e-02 -4.43317229e-03 -4.04005933e-02 -8.89623358e-02 -1.49651671e-01 -2.21405817e-01 -3.02572638e-01 -3.90945984e-01 -4.83837740e-01 -5.78166329e-01 -6.70585750e-01 -7.57607316e-01 -8.35772278e-01 -9.01779024e-01 -9.52634663e-01 -9.86631777e-01 -9.99132172e-01 -9.93689359e-01 -9.66157430e-01 -9.18365746e-01 -8.51682995e-01 -7.68047468e-01 -6.70118171e-01 -5.61058177e-01 -4.44349778e-01 -3.23652888e-01 -2.02620250e-01 -8.47449277e-02 2.67996882e-02 1.29293146e-01 2.20585231e-01 2.99180605e-01 3.64291991e-01 4.15850799e-01 4.54480510e-01 4.81426042e-01 4.98452927e-01 5.07714838e-01 5.11606128e-01 5.12602525e-01 5.13103862e-01 5.15285192e-01 5.20966287e-01 5.31504921e-01 5.47721918e-01 5.69857374e-01 5.97567024e-01 6.29947247e-01 6.65602042e-01 7.02726167e-01 7.39226052e-01 7.72838478e-01 8.01278269e-01 8.22367354e-01 8.34177913e-01 8.35141616e-01 8.24140970e-01 8.00570369e-01 7.64369999e-01 7.16040742e-01 6.56600110e-01 5.87530923e-01 5.10680206e-01 4.28169106e-01 3.42269653e-01 2.55298373e-01 1.69498739e-01 8.69436638e-02 9.44566055e-03 -6.15098540e-02 -1.24811640e-01 -1.79743966e-01 -2.25984103e-01 -2.63575148e-01 -2.92878813e-01 -3.14510528e-01 -3.29264529e-01 -3.38032932e-01 -3.41727099e-01 -3.41205702e-01 -3.37215721e-01 -3.30350075e-01 -3.21024488e-01 -3.09475481e-01 -2.95778113e-01 -2.79883138e-01 -2.61654071e-01 -2.38700806e-01 -2.20938579e-01
4.00000000e-01 -1.94221820e-01 -1.60521709e-01 -1.34393280e-01 -1.03682073e-01 -7.28845351e-02 -4.33010661e-02 -1.64182288e-02 6.11201304e-03 2.25512967e-02 3.11709388e-02 3.03586552e-02 1.87305860e-02 -4.76007987e-03 -4.07248978e-02 -8.92608659e-02 -1.49896631e-01 -2.21567504e-01 -3.02625269e-01 -3.90873396e-01 -4.83641723e-01 -5.77867325e-01 -6.70226471e-01 -7.57239083e-01 -8.35452332e-01 -9.01536478e-01 -9.52470431e-01 -9.87016460e-01 -9.98482206e-01 -9.93843691e-01 -9.66137263e-01 -9.18128749e-01 -8.51310253e-01 -7.67567337e-01 -6.69584542e-01 -5.60548797e-01 -4.43937039e-01 -3.23394295e-01 -2.02542443e-01 -8.48440639e-02 2.65544915e-02 1.28948234e-01 2.20190961e-01 2.98780835e-01 3.63918975e-01 4.15523509e-01 4.54207873e-01 4.81209912e-01 4.98292349e-01 5.07607522e-01 5.11549603e-01 5.12593396e-01 5.13137011e-01 5.15352812e-01 5.21057725e-01 5.31606883e-01 5.47820166e-01 5.69937692e-01 5.97618484e-01 6.29962458e-01 6.65580709e-01 7.02672395e-01 7.39150184e-01 7.72750081e-01 8.01185934e-01 8.22271999e-01 8.34076531e-01 8.35028202e-01 8.24007890e-01 8.00407985e-01 7.64167236e-01 7.15795967e-01 6.56321284e-01 5.87240459e-01 5.10405551e-01 4.27940933e-01 3.42112047e-01 2.55226945e-01 1.69516697e-01 8.70436495e-02 9.61178863e-03 -6.12977613e-02 -1.24574450e-01 -1.79500139e-01 -2.25748114e-01 -2.63356853e-01 -2.92684002e-01 -3.14341553e-01 -3.29121381e-01 -3.37913829e-01 -3.41629146e-01 -3.41125196e-01 -3.37148444e-01 -3.30291617e-01 -3.20970469e-01 -3.09422030e-01 -2.95722109e-01 -2.79823136e-01 -2.61560418e-01 -2.36897947e-01 -2.23277916e-01
5.00000000e-01 -1.95313606e-01 -1.58503633e-01 -1.34295825e-01 -1.03673621e-01 -7.29205970e-02 -4.33893832e-02 -1.65640630e-02 5.90654255e-03 2.22872533e-02 3.08525657e-02 2.99934042e-02 1.83297923e-02 -5.18011182e-03 -4.11414737e-02 -8.96442213e-02 -1.50211088e-01 -2.21775014e-01 -3.02692799e-01 -3.90780313e-01 -4.83390266e-01 -5.77483724e-01 -6.69765296e-01 -7.56766275e-01 -8.35041248e-01 -9.01219169e-01 -9.52278299e-01 -9.87479208e-01 -9.97677701e-01 -9.94018544e-01 -9.66120975e-01 -9.17822661e-01 -8.50830204e-01 -7.66950356e-01 -6.68899457e-01 -5.59895175e-01 -4.43407683e-01 -3.23062642e-01 -2.02442579e-01 -8.49710380e-02 2.62401129e-02 1.28505750e-01 2.19684845e-01 2.98267380e-01 3.63439630e-01 4.15102768e-01 4.53857284e-01 4.80931953e-01 4.98085816e-01 5.07469490e-01 5.11476879e-01 5.12581595e-01 5.13179532e-01 5.15439612e-01 5.21175110e-01 5.31737788e-01 5.47946299e-01 5.70040830e-01 5.97684575e-01 6.29982046e-01 6.65553363e-01 7.02603417e-01 7.39052771e-01 7.72636547e-01 8.01067231e-01 8.22149352e-01 8.33946067e-01 8.34882227e-01 8.23836602e-01 8.00198998e-01 7.63906452e-01 7.15481276e-01 6.55963042e-01 5.86867388e-01 5.10052945e-01 4.27648052e-01 3.41909788e-01 2.55135260e-01 1.69539719e-01 8.71719420e-02 9.82502659e-03 -6.10254484e-02 -1.24269811e-01 -1.79186888e-01 -2.25444845e-01 -2.63076263e-01 -2.92433545e-01 -3.14124282e-01 -3.28937293e-01 -3.37760648e-01 -3.41503149e-01 -3.41021627e-01 -3.37061884e-01 -3.30216396e-01 -3.20900965e-01 -3.09353263e-01 -2.95650085e-01 -2.79746120e-01 -2.61417371e-01 -2.34646035e-01 -2.26242151e-01
6.00000000e-01 -1.96603734e-01 -1.56113082e-01 -1.34146076e-01 -1.03662988e-01 -7.29648090e-02 -4.34974142e-02 -1.67423323e-02 5.65543614e-03 2.19646088e-02 3.04635667e-02 2.95471754e-02 1.78402226e-02 -5.69305949e-03 -4.16500312e-02 -9.01120513e-02 -1.50594676e-01 -2.22028069e-01 -3.02775130e-01 -3.90666913e-01 -4.83083790e-01 -5.77016147e-01 -6.69202790e-01 -7.56189388e-01 -8.34539050e-01 -9.00823639e-01 -9.52071283e-01 -9.87997752e-01 -9.96740441e-01 -9.94197564e-01 -9.66114929e-01 -9.17446811e-01 -8.50242176e-01 -7.66196776e-01 -6.68063670e-01 -5.59098281e-01 -4.42762686e-01 -3.22658543e-01 -2.02320786e-01 -8.51254885e-02 2.58572034e-02 1.27966422e-01 2.19067484e-01 2.97640642e-01 3.62854145e-01 4.14588622e-01 4.53428704e-01 4.80592106e-01 4.97833272e-01 5.07300702e-01 5.11387916e-01 5.12567073e-01 5.13231349e-01 5.15545487e-01 5.21318307e-01 5.31897494e-01 5.48100179e-01 5.70166690e-01 5.97765240e-01 6.30006035e-01 6.65520069e-01 7.02519354e-01 7.38933911e-01 7.72497966e-01 8.00922172e-01 8.21999380e-01 8.33786435e-01 8.34703571e-01 8.23626970e-01 7.99943257e-01 7.63587580e-01 7.15096686e-01 6.55525569e-01 5.86411998e-01 5.09622780e-01 4.27290826e-01 3.41663161e-01 2.55023429e-01 1.69567757e-01 8.73283470e-02 1.00851091e-02 -6.06931976e-02 -1.23897965e-01 -1.78804395e-01 -2.25074407e-01 -2.62733433e-01 -2.92127454e-01 -3.13858702e-01 -3.28712234e-01 -3.37573350e-01 -3.41349066e-01 -3.40894951e-01 -3.36955996e-01 -3.30124367e-01 -3.20815934e-01 -3.09269146e-01 -2.95562034e-01 -2.79651916e-01 -2.61209200e-01 -2.31992623e-01 -2.29799682e-01
7.00000000e-01 -1.98066925e-01 -1.53393006e-01 -1.33927410e-01 -1.03649588e-01 -7.30172492e-02 -4.36252116e-02 -1.69530534e-02 5.35870833e-03 2.15834082e-02 3.00040165e-02 2.90200828e-02 1.72620510e-02 -6.29866753e-03 -4.22502165e-02 -9.06639281e-02 -1.51046948e-01 -2.22326330e-01 -3.02872139e-01 -3.90533418e-01 -4.82722808e-01 -5.76465344e-01 -6.68539644e-01 -7.55509045e-01 -8.33945588e-01 -9.00346330e-01 -9.51863968e-01 -9.88546595e-01 -9.95695354e-01 -9.94362164e-01 -9.66125998e-01 -9.17000754e-01 -8.49545290e-01 -7.65306897e-01 -6.67078105e-01 -5.58159293e-01 -4.42003231e-01 -3.22182743e-01 -2.02177219e-01 -8.53069785e-02 2.54065533e-02 1.27331132e-01 2.18339612e-01 2.96901109e-01 3.62162750e-01 4.13981128e-01 4.52922084e-01 4.80190301e-01 4.97534649e-01 5.07101110e-01 5.11282668e-01 5.12549769e-01 5.13292370e-01 5.15670309e-01 5.21487154e-01 5.32085826e-01 5.48281637e-01 5.70315155e-01 5.97860416e-01 6.30034452e-01 6.65480901e-01 7.02420347e-01 7.38793725e-01 7.72334444e-01 8.00750771e-01 8.21822039e-01 8.33597529e-01 8.34492089e-01 8.23378823e-01 7.99640575e-01 7.63210537e-01 7.14642217e-01 6.55009093e-01 5.85874640e-01 5.09115531e-01 4.26869697e-01 3.41372505e-01 2.54891591e-01 1.69600751e-01 8.75126290e-02 1.03917130e-02 -6.03013524e-02 -1.23459205e-01 -1.78352880e-01 -2.24636932e-01 -2.62328431e-01 -2.91765742e-01 -3.13544798e-01 -3.28446169e-01 -3.37351890e-01 -3.41166845e-01 -3.40745111e-01 -3.36830723e-01 -3.30015474e-01 -3.20715328e-01 -3.09169641e-01 -2.95457946e-01 -2.79540023e-01 -2.60918011e-01 -2.28993682e-01 -2.33912979e-01
8.00000000e-01 -1.99674441e-01 -1.50391854e-01 -1.33621703e-01 -1.03632391e-01 -7.30780014e-02 -4.37728374e-02 -1.71962459e-02 5.01637619e-03 2.11437046e-02 2.94740034e-02 2.84122617e-02 1.65954838e-02 -6.99663374e-03 -4.29416121e-02 -9.12993480e-02 -1.51567380e-01 -2.22669400e-01 -3.02983686e-01 -3.90380083e-01 -4.82307927e-01 -5.75832199e-01 -6.67776676e-01 -7.54726000e-01 -8.33260444e-01 -8.99783934e-01 -9.51671795e-01 -9.89097937e-01 -9.94569595e-01 -9.94492284e-01 -9.66161072e-01 -9.16484461e-01 -8.48738435e-01 -7.64281071e-01 -6.65943850e-01 -5.57079602e-01 -4.41130702e-01 -3.21636119e-01 -2.02012061e-01 -8.55149970e-02 2.48890895e-02 1.26600917e-01 2.17502091e-01 2.96049362e-01 3.61365720e-01 4.13280356e-01 4.52337370e-01 4.79726454e-01 4.97189865e-01 5.06870653e-01 5.11161080e-01 5.12529613e-01 5.13362488e-01 5.15813926e-01 5.21681458e-01 5.32302580e-01 5.48490476e-01 5.70486084e-01 5.97970024e-01 6.30067329e-01 6.65435953e-01 7.02306564e-01 7.38632356e-01 7.72146108e-01 8.00553045e-01 8.21617277e-01 8.33379227e-01 8.34247613e-01 8.23091963e-01 7.99290736e-01 7.62775228e-01 7.14117898e-01 6.54413879e-01 5.85255731e-01 5.08531754e-01 4.26385186e-01 3.41038225e-01 2.54739907e-01 1.69638630e-01 8.77245118e-02 1.07444584e-02 -5.98503170e-02 -1.22953877e-01 -1.77832604e-01 -2.24132582e-01 -2.61861338e-01 -2.91348427e-01 -3.13182550e-01 -3.28139055e-01 -3.37096214e-01 -3.40956423e-01 -3.40572043e-01 -3.36685999e-01 -3.29889654e-01 -3.20599091e-01 -3.09054699e-01 -2.95337809e-01 -2.79409473e-01 -2.60524480e-01 -2.25712395e-01 -2.38539209e-01
9.00000000e-01 -2.01394603e-01 -1.47162515e-01 -1.33210009e-01 -1.03609787e-01 -7.31471464e-02 -4.39403628e-02 -1.74719331e-02 4.62845940e-03 2.06455594e-02 2.88736295e-02 2.77238689e-02 1.58407598e-02 -7.78660881e-03 -4.37237372e-02 -9.20177314e-02 -1.52155373e-01 -2.23056825e-01 -3.03109610e-01 -3.90207203e-01 -4.81839838e-01 -5.75117718e-01 -6.66914832e-01 -7.53841140e-01 -8.32482853e-01 -8.99133760e-01 -9.51510296e-01 -9.89622693e-01 -9.93391555e-01 -9.94567207e-01 -9.66226556e-01 -9.15898510e-01 -8.47820252e-01 -7.63119690e-01 -6.64662162e-01 -5.55860803e-01 -4.40146683e-01 -3.21019670e-01 -2.01825521e-01 -8.57489629e-02 2.43058718e-02 1.25776966e-01 2.16555916e-01 2.95086069e-01 3.60463376e-01 4.12486391e-01 4.51674503e-01 4.79200469e-01 4.96798829e-01 5.06609264e-01 5.11023086e-01 5.12506522e-01 5.13441576e-01 5.15976164e-01 5.21900998e-01 5.32547521e-01 5.48726468e-01 5.70679317e-01 5.98093978e-01 6.30104701e-01 6.65385328e-01 7.02178195e-01 7.38449970e-01 7.71933099e-01 8.00329016e-01 8.21385035e-01 8.33131385e-01 8.33969944e-01 8.22766158e-01 7.98893492e-01 7.62281539e-01 7.13523766e-01 6.53740232e-01 5.84555750e-01 5.07872089e-01 4.25837890e-01 3.40660778e-01 2.54568564e-01 1.69681314e-01 8.79636794e-02 1.11429092e-02 -5.93405554e-02 -1.22382379e-01 -1.77243868e-01 -2.23561540e-01 -2.61332250e-01 -2.90875528e-01 -3.12771938e-01 -3.27790841e-01 -3.36806260e-01 -3.40717731e-01 -3.40375671e-01 -3.36521748e-01 -3.29746830e-01 -3.20467156e-01 -3.08924266e-01 -2.95201601e-01 -2.79258683e-01 -2.60008664e-01 -2.22217799e-01 -2.43630942e-01
