# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 -9.99992547e-01 -9.99987773e-01 -9.99980141e-01 -9.99968066e-01 -9.99949161e-01 -9.99919869e-01 -9.99874957e-01 -9.99806813e-01 -9.99704503e-01 -9.99552508e-01 -9.99329075e-01 -9.99004089e-01 -9.98536395e-01 -9.97870468e-01 -9.96932379e-01 -9.95625018e-01 -9.93822569e-01 -9.91364320e-01 -9.88047954e-01 -9.83622598e-01 -9.77782007e-01 -9.70158428e-01 -9.60317811e-01 -9.47757180e-01 -9.31905091e-01 -9.12126133e-01 -8.87730474e-01 -8.57989293e-01 -8.22156765e-01 -7.79498949e-01 -7.29329434e-01 -6.71051087e-01 -6.04202602e-01 -5.28507847e-01 -4.43925399e-01 -3.50695065e-01 -2.49377802e-01 -1.40885284e-01 -2.64954881e-02 9.21488533e-02 2.13061319e-01 3.33953622e-01 4.52298074e-01 5.65409076e-01 6.70540423e-01 7.64993805e-01 8.46232693e-01 9.11994964e-01 9.60397347e-01 9.90024958e-01 1.00000000e+00 9.90024958e-01 9.60397347e-01 9.11994964e-01 8.46232693e-01 7.64993805e-01 6.70540423e-01 5.65409076e-01 4.52298074e-01 3.33953622e-01 2.13061319e-01 9.21488533e-02 -2.64954881e-02 -1.40885284e-01 -2.49377802e-01 -3.50695065e-01 -4.43925399e-01 -5.28507847e-01 -6.04202602e-01 -6.71051087e-01 -7.29329434e-01 -7.79498949e-01 -8.22156765e-01 -8.57989293e-01 -8.87730474e-01 -9.12126133e-01 -9.31905091e-01 -9.47757180e-01 -9.60317811e-01 -9.70158428e-01 -9.77782007e-01 -9.83622598e-01 -9.88047954e-01 -9.91364320e-01 -9.93822569e-01 -9.95625018e-01 -9.96932379e-01 -9.97870468e-01 -9.98536395e-01 -9.99004089e-01 -9.99329075e-01 -9.99552508e-01 -9.99704503e-01 -9.99806813e-01 -9.99874957e-01 -9.99919869e-01 -9.99949161e-01 -9.99968066e-01 -9.99980141e-01 -9.99987773e-01
1.00000000e-01 -9.99992565e-01 -9.99987754e-01 -9.99980141e-01 -9.99968066e-01 -9.99949161e-01 -9.99919869e-01 -9.99874957e-01 -9.99806812e-01 -9.99704503e-01 -9.99552506e-01 -9.99329073e-01 -9.99004084e-01 -9.98536390e-01 -9.97870452e-01 -9.96932359e-01 -9.95624972e-01 -9.93822502e-01 -9.91364181e-01 -9.88047738e-01 -9.83622193e-01 -9.77781369e-01 -9.70157320e-01 -9.60316093e-01 -9.47754390e-01 -9.31900903e-01 -9.12119750e-01 -8.87721311e-01 -8.57976197e-01 -8.22138965e-01 -7.79475204e-01 -7.29299206e-01 -6.71013787e-01 -6.04158807e-01 -5.28458715e-01 -4.43873599e-01 -3.50644221e-01 -2.49332743e-01 -1.40851241e-01 -2.64775463e-02 9.21468500e-02 2.13037582e-01 3.33909309e-01 4.52237242e-01 5.65338752e-01 6.70468765e-01 7.64929623e-01 8.46182190e-01 9.11962013e-01 9.60380929e-01 9.90069835e-01 9.99900725e-01 9.90069781e-01 9.60381074e-01 9.11961758e-01 8.46182453e-01 7.64929387e-01 6.70468954e-01 5.65338616e-01 4.52237331e-01 3.33909255e-01 2.13037613e-01 9.21468321e-02 -2.64775329e-02 -1.40851256e-01 -2.49332719e-01 -3.50644259e-01 -4.43873544e-01 -5.28458790e-01 -6.04158714e-01 -6.71013896e-01 -7.29299084e-01 -7.79475331e-01 -8.22138838e-01 -8.57976319e-01 -8.87721199e-01 -9.12119850e-01 -9.31900816e-01 -9.47754463e-01 -9.60316032e-01 -9.70157369e-01 -9.77781330e-01 -9.83622223e-01 -9.88047715e-01 -9.91364198e-01 -9.93822489e-01 -9.95624981e-01 -9.96932352e-01 -9.97870457e-01 -9.98536386e-01 -9.99004086e-01 -9.99329071e-01 -9.99552508e-01 -9.99704502e-01 -9.99806813e-01 -9.99874956e-01 -9.99919869e-01 -9.99949161e-01 -9.99968066e-01 -9.99980111e-01 -9.99987803e-01
2.00000000e-01 -9.99992620e-01 -9.99987699e-01 -9.99980140e-01 -9.99968066e-01 -9.99949161e-01 -9.99919868e-01 -9.99874956e-01 -9.99806810e-01 -9.99704501e-01 -9.99552500e-01 -9.99329069e-01 -9.99004068e-01 -9.98536373e-01 -9.97870406e-01 -9.96932301e-01 -9.95624834e-01 -9.93822300e-01 -9.91363764e-01 -9.88047090e-01 -9.83620976e-01 -9.77779455e-01 -9.70153995e-01 -9.60310937e-01 -9.47746017e-01 -9.31888334e-01 -9.12100597e-01 -8.87693812e-01 -8.57936905e-01 -8.22085550e-01 -7.79403956e-01 -7.29208511e-01 -6.70901883e-01 -6.04027428e-01 -5.28311343e-01 -4.43718235e-01 -3.50491745e-01 -2.49197628e-01 -1.40749175e-01 -2.64237636e-02 9.21408302e-02 2.12966405e-01 3.33776439e-01 4.52054839e-01 5.65127862e-01 6.70253857e-01 7.64737098e-01 8.46030674e-01 9.11862784e-01 9.60333020e-01 9.90201956e-01 9.99605717e-01 9.90201742e-01 9.60333595e-01 9.11861776e-01 8.46031715e-01 7.64736163e-01 6.70254604e-01 5.65127324e-01 4.52055191e-01 3.33776226e-01 2.12966526e-01 9.21407599e-02 -2.64237114e-02 -1.40749236e-01 -2.49197535e-01 -3.50491892e-01 -4.43718019e-01 -5.28311637e-01 -6.04027057e-01 -6.70902319e-01 -7.29208029e-01 -7.79404460e-01 -8.22085046e-01 -8.57937386e-01 -8.87693367e-01 -9.12100994e-01 -9.31887989e-01 -9.47746308e-01 -9.60310696e-01 -9.70154189e-01 -9.77779301e-01 -9.83621097e-01 -9.88046998e-01 -9.91363833e-01 -9.93822248e-01 -9.95624872e-01 -9.96932273e-01 -9.97870426e-01 -9.98536359e-01 -9.99004078e-01 -9.99329062e-01 -9.99552505e-01 -9.99704498e-01 -9.99806812e-01 -9.99874955e-01 -9.99919869e-01 -9.99949161e-01 -9.99968066e-01 -9.99980020e-01 -9.99987894e-01
3.00000000e-01 -9.99992711e-01 -9.99987609e-01 -9.99980138e-01 -9.99968066e-01 -9.99949161e-01 -9.99919866e-01 -9.99874956e-01 -9.99806806e-01 -9.99704499e-01 -9.99552490e-01 -9.99329061e-01 -9.99004041e-01 -9.98536346e-01 -9.97870330e-01 -9.96932202e-01 -9.95624604e-01 -9.93821963e-01 -9.91363069e-01 -9.88046008e-01 -9.83618950e-01 -9.77776259e-01 -9.70148452e-01 -9.60302333e-01 -9.47732057e-01 -9.31867366e-01 -9.12068663e-01 -8.87647947e-01 -8.57871391e-01 -8.21996478e-01 -7.79285179e-01 -7.29057311e-01 -6.70715369e-01 -6.03808475e-01 -5.28065794e-01 -4.43459418e-01 -3.50237804e-01 -2.48972651e-01 -1.40579275e-01 -2.63342682e-02 9.21307642e-02 2.12847887e-01 3.33555218e-01 4.51751142e-01 5.64776661e-01 6.69895894e-01 7.64416288e-01 8.45778112e-01 9.11696187e-01 9.60257587e-01 9.90413884e-01 9.99123324e-01 9.90413413e-01 9.60258860e-01 9.11693951e-01 8.45780420e-01 7.64414218e-01 6.69897548e-01 5.64775470e-01 4.51751921e-01 3.33554749e-01 2.12848152e-01 9.21306111e-02 -2.63341551e-02 -1.40579407e-01 -2.48972447e-01 -3.50238127e-01 -4.43458940e-01 -5.28066446e-01 -6.03807654e-01 -6.70716334e-01 -7.29056245e-01 -7.79286295e-01 -8.21995364e-01 -8.57872459e-01 -8.87646962e-01 -9.12069543e-01 -9.31866603e-01 -9.47732701e-01 -9.60301801e-01 -9.70148882e-01 -9.77775918e-01 -9.83619216e-01 -9.88045804e-01 -9.91363223e-01 -9.93821848e-01 -9.95624688e-01 -9.96932141e-01 -9.97870374e-01 -9.98536315e-01 -9.99004063e-01 -9.99329046e-01 -9.99552501e-01 -9.99704492e-01 -9.99806811e-01 -9.99874952e-01 -9.99919869e-01 -9.99949160e-01 -9.99968062e-01 -9.99979873e-01 -9.99988042e-01
4.00000000e-01 -9.99992836e-01 -9.99987488e-01 -9.99980133e-01 -9.99968066e-01 -9.99949160e-01 -9.99919864e-01 -9.99874954e-01 -9.99806800e-01 -9.99704496e-01 -9.99552477e-01 -9.99329050e-01 -9.99004004e-01 -9.98536307e-01 -9.97870224e-01 -9.96932064e-01 -9.95624283e-01 -9.93821488e-01 -9.91362097e-01 -9.88044487e-01 -9.83616114e-01 -9.77771774e-01 -9.70140690e-01 -9.60290266e-01 -9.47712503e-01 -9.31837971e-01 -9.12023928e-01 -8.87583667e-01 -8.57779620e-01 -8.21871682e-01 -7.79118823e-01 -7.28845545e-01 -6.70454232e-01 -6.03501968e-01 -5.27722179e-01 -4.43097333e-01 -3.49882676e-01 -2.48658132e-01 -1.40341854e-01 -2.62092732e-02 9.21166028e-02 2.12682196e-01 3.33245989e-01 4.51326612e-01 5.64285570e-01 6.69395200e-01 7.63967299e-01 8.45424422e-01 9.11460515e-01 9.60161008e-01 9.90693547e-01 9.98467115e-01 9.90692729e-01 9.60163223e-01 9.11456620e-01 8.45428439e-01 7.63963701e-01 6.69398075e-01 5.64283503e-01 4.51327962e-01 3.33245180e-01 2.12682651e-01 9.21163430e-02 -2.62090830e-02 -1.40342077e-01 -2.48657782e-01 -3.49883233e-01 -4.43096505e-01 -5.27723310e-01 -6.03500541e-01 -6.70455909e-01 -7.28843691e-01 -7.79120765e-01 -8.21869743e-01 -8.57781475e-01 -8.87581955e-01 -9.12025457e-01 -9.31836645e-01 -9.47713623e-01 -9.60289341e-01 -9.70141437e-01 -9.77771182e-01 -9.83616576e-01 -9.88044132e-01 -9.91362365e-01 -9.93821288e-01 -9.95624430e-01 -9.96931957e-01 -9.97870301e-01 -9.98536253e-01 -9.99004043e-01 -9.99329023e-01 -9.99552495e-01 -9.99704483e-01 -9.99806809e-01 -9.99874949e-01 -9.99919868e-01 -9.99949160e-01 -9.99968054e-01 -9.99979673e-01 -9.99988248e-01
5.00000000e-01 -9.99992993e-01 -9.99987338e-01 -9.99980122e-01 -9.99968067e-01 -9.99949160e-01 -9.99919861e-01 -9.99874953e-01 -9.99806794e-01 -9.99704491e-01 -9.99552459e-01 -9.99329035e-01 -9.99003958e-01 -9.98536256e-01 -9.97870088e-01 -9.96931883e-01 -9.95623872e-01 -9.93820873e-01 -9.91360849e-01 -9.88042523e-01 -9.83612468e-01 -9.77765990e-01 -9.70130706e-01 -9.60274715e-01 -9.47687344e-01 -9.31800108e-01 -9.11966363e-01 -8.87500904e-01 -8.57661535e-01 -8.21711065e-01 -7.78904820e-01 -7.28573129e-01 -6.70118453e-01 -6.03107934e-01 -5.27280651e-01 -4.42632237e-01 -3.49426751e-01 -2.48254517e-01 -1.40037349e-01 -2.60490756e-02 9.20982779e-02 2.12469565e-01 3.32849232e-01 4.50781895e-01 5.63655179e-01 6.68752229e-01 7.63390285e-01 8.44969425e-01 9.11153610e-01 9.60051738e-01 9.91024692e-01 9.97655376e-01 9.91023456e-01 9.60055105e-01 9.11147681e-01 8.44975532e-01 7.63384822e-01 6.68756590e-01 5.63652047e-01 4.50783935e-01 3.32848015e-01 2.12470243e-01 9.20978963e-02 -2.60487999e-02 -1.40037676e-01 -2.48253998e-01 -3.49427587e-01 -4.42630988e-01 -5.27282363e-01 -6.03105770e-01 -6.70121000e-01 -7.28570313e-01 -7.78907770e-01 -8.21708120e-01 -8.57664353e-01 -8.87498305e-01 -9.11968683e-01 -9.31798097e-01 -9.47689043e-01 -9.60273313e-01 -9.70131839e-01 -9.77765091e-01 -9.83613168e-01 -9.88041986e-01 -9.91361256e-01 -9.93820570e-01 -9.95624095e-01 -9.96931722e-01 -9.97870205e-01 -9.98536174e-01 -9.99004015e-01 -9.99328995e-01 -9.99552487e-01 -9.99704472e-01 -9.99806806e-01 -9.99874944e-01 -9.99919867e-01 -9.99949162e-01 -9.99968036e-01 -9.99979428e-01 -9.99988506e-01
6.00000000e-01 -9.99993180e-01 -9.99987165e-01 -9.99980103e-01 -9.99968069e-01 -9.99949159e-01 -9.99919858e-01 -9.99874951e-01 -9.99806785e-01 -9.99704485e-01 -9.99552438e-01 -9.99329017e-01 -9.99003901e-01 -9.98536192e-01 -9.97869924e-01 -9.96931660e-01 -9.95623372e-01 -9.93820115e-01 -9.91359327e-01 -9.88040109e-01 -9.83608013e-01 -9.77758893e-01 -9.70118497e-01 -9.60255653e-01 -9.47656566e-01 -9.31753728e-01 -9.11895932e-01 -8.87399571e-01 -8.57517067e-01 -8.21514505e-01 -7.78643081e-01 -7.28239955e-01 -6.69708010e-01 -6.02626412e-01 -5.26741406e-01 -4.42064464e-01 -3.48870527e-01 -2.47762380e-01 -1.39666322e-01 -2.58540555e-02 9.20757027e-02 2.12210291e-01 3.32365559e-01 4.50117812e-01 5.62886247e-01 6.67967563e-01 7.62685455e-01 8.44412798e-01 9.10773074e-01 9.59939862e-01 9.91387517e-01 9.96710441e-01 9.91385808e-01 9.59944549e-01 9.10764807e-01 8.44421301e-01 7.62677864e-01 6.67973618e-01 5.62881905e-01 4.50120632e-01 3.32363887e-01 2.12211212e-01 9.20751951e-02 -2.58536954e-02 -1.39666753e-01 -2.47761680e-01 -3.48871671e-01 -4.42062741e-01 -5.26743777e-01 -6.02623408e-01 -6.69711550e-01 -7.28236038e-01 -7.78647184e-01 -8.21510410e-01 -8.57520985e-01 -8.87395958e-01 -9.11899155e-01 -9.31750935e-01 -9.47658924e-01 -9.60253707e-01 -9.70120070e-01 -9.77757646e-01 -9.83608985e-01 -9.88039364e-01 -9.91359891e-01 -9.93819695e-01 -9.95623681e-01 -9.96931436e-01 -9.97870085e-01 -9.98536078e-01 -9.99003981e-01 -9.99328961e-01 -9.99552476e-01 -9.99704459e-01 -9.99806803e-01 -9.99874939e-01 -9.99919866e-01 -9.99949165e-01 -9.99968005e-01 -9.99979144e-01 -9.99988812e-01
7.00000000e-01 -9.99993394e-01 -9.99986975e-01 -9.99980072e-01 -9.99968072e-01 -9.99949158e-01 -9.99919854e-01 -9.99874948e-01 -9.99806776e-01 -9.99704478e-01 -9.99552414e-01 -9.99328994e-01 -9.99003835e-01 -9.98536115e-01 -9.97869732e-01 -9.96931392e-01 -9.95622784e-01 -9.93819211e-01 -9.91357532e-01 -9.88037238e-01 -9.83602749e-01 -9.77750468e-01 -9.70104058e-01 -9.60233050e-01 -9.47620149e-01 -9.31698769e-01 -9.11812587e-01 -8.87279564e-01 -8.57346128e-01 -8.21281855e-01 -7.78333498e-01 -7.27845893e-01 -6.69222873e-01 -6.02057448e-01 -5.26104685e-01 -4.41394422e-01 -3.48214613e-01 -2.47182419e-01 -1.39229450e-01 -2.56246748e-02 9.20487730e-02 2.11904736e-01 3.31795716e-01 4.49335365e-01 5.61979696e-01 6.67041911e-01 7.61853079e-01 8.43754004e-01 9.10316530e-01 9.59836546e-01 9.91759425e-01 9.95657861e-01 9.91757209e-01 9.59842673e-01 9.10305703e-01 8.43765123e-01 7.61843178e-01 6.67049802e-01 5.61974049e-01 4.49339018e-01 3.31793568e-01 2.11905902e-01 9.20481473e-02 -2.56242419e-02 -1.39229977e-01 -2.47181540e-01 -3.48216076e-01 -4.41392195e-01 -5.26107765e-01 -6.02053534e-01 -6.69227493e-01 -7.27840778e-01 -7.78338856e-01 -8.21276508e-01 -8.57351243e-01 -8.87274849e-01 -9.11816791e-01 -9.31695127e-01 -9.47623223e-01 -9.60230514e-01 -9.70106106e-01 -9.77748844e-01 -9.83604014e-01 -9.88036268e-01 -9.91358265e-01 -9.93818665e-01 -9.95623186e-01 -9.96931100e-01 -9.97869941e-01 -9.98535967e-01 -9.99003940e-01 -9.99328921e-01 -9.99552464e-01 -9.99704444e-01 -9.99806798e-01 -9.99874933e-01 -9.99919865e-01 -9.99949171e-01 -9.99967955e-01 -9.99978832e-01 -9.99989162e-01
8.00000000e-01 -9.99993630e-01 -9.99986773e-01 -9.99980027e-01 -9.99968078e-01 -9.99949158e-01 -9.99919849e-01 -9.99874945e-01 -9.99806765e-01 -9.99704469e-01 -9.99552387e-01 -9.99328966e-01 -9.99003761e-01 -9.98536024e-01 -9.97869512e-01 -9.96931078e-01 -9.95622109e-01 -9.93818156e-01 -9.91355464e-01 -9.88033901e-01 -9.83596675e-01 -9.77740696e-01 -9.70087382e-01 -9.60206867e-01 -9.47578071e-01 -9.31635161e-01 -9.11716271e-01 -8.87140760e-01 -8.57148613e-01 -8.21012942e-01 -7.77975940e-01 -7.27390793e-01 -6.68663010e-01 -6.01401103e-01 -5.25370772e-01 -4.40622593e-01 -3.47459723e-01 -2.46515458e-01 -1.38727533e-01 -2.53614749e-02 9.20173678e-02 2.11553323e-01 3.31140581e-01 4.48435727e-01 5.60936618e-01 6.65976113e-01 7.60893494e-01 8.42992236e-01 9.09781904e-01 9.59753424e-01 9.92115894e-01 9.94525464e-01 9.92113160e-01 9.59761058e-01 9.09768380e-01 8.43006098e-01 7.60881187e-01 6.65985909e-01 5.60929624e-01 4.48440229e-01 3.31137958e-01 2.11554720e-01 9.20166450e-02 -2.53609924e-02 -1.38728133e-01 -2.46514415e-01 -3.47461500e-01 -4.40619857e-01 -5.25374581e-01 -6.01396246e-01 -6.68668753e-01 -7.27384428e-01 -7.77982609e-01 -8.21006287e-01 -8.57154977e-01 -8.87134897e-01 -9.11721497e-01 -9.31630637e-01 -9.47581888e-01 -9.60203720e-01 -9.70089923e-01 -9.77738683e-01 -9.83598244e-01 -9.88032699e-01 -9.91356373e-01 -9.93817480e-01 -9.95622606e-01 -9.96930716e-01 -9.97869772e-01 -9.98535840e-01 -9.99003890e-01 -9.99328877e-01 -9.99552448e-01 -9.99704427e-01 -9.99806793e-01 -9.99874926e-01 -9.99919864e-01 -9.99949180e-01 -9.99967881e-01 -9.99978501e-01 -9.99989551e-01
9.00000000e-01 -9.99993887e-01 -9.99986567e-01 -9.99979963e-01 -9.99968085e-01 -9.99949158e-01 -9.99919844e-01 -9.99874941e-01 -9.99806753e-01 -9.99704458e-01 -9.99552357e-01 -9.99328934e-01 -9.99003678e-01 -9.98535917e-01 -9.97869266e-01 -9.96930715e-01 -9.95621348e-01 -9.93816947e-01 -9.91353125e-01 -9.88030090e-01 -9.83589790e-01 -9.77729559e-01 -9.70068459e-01 -9.60177066e-01 -9.47530302e-01 -9.31562825e-01 -9.11606917e-01 -8.86983021e-01 -8.56924397e-01 -8.20707571e-01 -7.77570253e-01 -7.26874484e-01 -6.68028379e-01 -6.00657449e-01 -5.24539995e-01 -4.39749536e-01 -3.46606681e-01 -2.45762439e-01 -1.38161481e-01 -2.50650752e-02 9.19813504e-02 2.11156537e-01 3.30401157e-01 4.47420240e-01 5.59758265e-01 6.64771133e-01 7.59807098e-01 8.42126359e-01 9.09167718e-01 9.59701931e-01 9.92431416e-01 9.93342333e-01 9.92428175e-01 9.59711084e-01 9.09151457e-01 8.42142990e-01 7.59792385e-01 6.64782828e-01 5.59749941e-01 4.47425567e-01 3.30398089e-01 2.11158131e-01 9.19805653e-02 -2.50645784e-02 -1.38162121e-01 -2.45761265e-01 -3.46608743e-01 -4.39746311e-01 -5.24544520e-01 -6.00651654e-01 -6.68035248e-01 -7.26866864e-01 -7.77578240e-01 -8.20699602e-01 -8.56932015e-01 -8.86976006e-01 -9.11613166e-01 -9.31557418e-01 -9.47534862e-01 -9.60173308e-01 -9.70071492e-01 -9.77727157e-01 -9.83591660e-01 -9.88028657e-01 -9.91354208e-01 -9.93816141e-01 -9.95621941e-01 -9.96930284e-01 -9.97869575e-01 -9.98535698e-01 -9.99003832e-01 -9.99328827e-01 -9.99552430e-01 -9.99704408e-01 -9.99806786e-01 -9.99874918e-01 -9.99919864e-01 -9.99949193e-01 -9.99967777e-01 -9.99978162e-01 -9.99989972e-01
