# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 8.35904942e-01 7.72414522e-01 6.72810636e-01 5.44180046e-01 3.95172874e-01 2.35470052e-01 7.51938955e-02 -7.57019556e-02 -2.08025921e-01 -3.13889157e-01 -3.87160965e-01 -4.23811836e-01 -4.22124171e-01 -3.82759027e-01 -3.08676231e-01 -2.04914316e-01 -7.82453793e-02 6.32723716e-02 2.10815460e-01 3.55356065e-01 4.88227531e-01 6.01658954e-01 6.89245608e-01 7.46326243e-01 7.70244473e-01 7.60478922e-01 7.18635284e-01 6.48302258e-01 5.54781972e-01 4.44713428e-01 3.25614227e-01 2.05370872e-01 9.17110631e-02 -8.30764444e-03 -8.87597043e-02 -1.45234202e-01 -1.75113742e-01 -1.77731921e-01 -1.54399628e-01 -1.08298975e-01 -4.42522396e-02 3.16186762e-02 1.12319654e-01 1.90470403e-01 2.58817070e-01 3.10737602e-01 3.40706492e-01 3.44688105e-01 3.20432383e-01 2.67652978e-01 1.88075460e-01 8.53516318e-02 -3.51553316e-02 -1.66701819e-01 -3.01590069e-01 -4.31662822e-01 -5.48834727e-01 -6.45626341e-01 -7.15666132e-01 -7.54127683e-01 -7.58073236e-01 -7.26680450e-01 -6.61336538e-01 -5.65592284e-01 -4.44977281e-01 -3.06686576e-01 -1.59157126e-01 -1.15596185e-02 1.26763249e-01 2.46877288e-01 3.40819931e-01 4.02110514e-01 4.26175341e-01 4.10660184e-01 3.55609721e-01 2.63501480e-01 1.39130870e-01 -1.06469534e-02 -1.77303745e-01 -3.51130623e-01 -5.21806996e-01 -6.79011703e-01 -8.13039360e-01 -9.15384409e-01 -9.79257136e-01 -1.00000000e+00 -9.75378544e-01 -9.05728789e-01 -7.93951683e-01 -6.45354537e-01 -4.67348652e-01 -2.69021182e-01 -6.06069009e-02 1.47108306e-01 3.43416284e-01 5.18309860e-01 6.63062977e-01 7.70732844e-01 8.36554044e-01 8.58201216e-01
1.00000000e-01 8.36137942e-01 7.71988723e-01 6.72696003e-01 5.44055453e-01 3.95072586e-01 2.35423242e-01 7.52125066e-02 -7.56260707e-02 -2.07913574e-01 -3.13762383e-01 -3.87033696e-01 -4.23688113e-01 -4.22002275e-01 -3.82637564e-01 -3.08559708e-01 -2.04815731e-01 -7.81830233e-02 6.32835840e-02 2.10772323e-01 3.55270550e-01 4.88122105e-01 6.01557012e-01 6.89159837e-01 7.46255388e-01 7.70180631e-01 7.60415807e-01 7.18566266e-01 6.48223593e-01 5.54700983e-01 4.44645951e-01 3.25576839e-01 2.05372894e-01 9.17521847e-02 -8.23572769e-03 -8.86685697e-02 -1.45134559e-01 -1.75013496e-01 -1.77636771e-01 -1.54314831e-01 -1.08230654e-01 -4.42071517e-02 3.16350815e-02 1.12305513e-01 1.90428506e-01 2.58753520e-01 3.10659127e-01 3.40618005e-01 3.44592343e-01 3.20331526e-01 2.67551425e-01 1.87982231e-01 8.52802660e-02 -3.51903990e-02 -1.66691564e-01 -3.01536035e-01 -4.31578415e-01 -5.48739836e-01 -6.45538367e-01 -7.15590426e-01 -7.54058785e-01 -7.58003602e-01 -7.26602680e-01 -6.61243171e-01 -5.65485204e-01 -4.44873812e-01 -3.06611561e-01 -1.59131386e-01 -1.15902890e-02 1.26684296e-01 2.46767868e-01 3.40697596e-01 4.01985215e-01 4.26048441e-01 4.10529013e-01 3.55474020e-01 2.63369879e-01 1.39023769e-01 -1.07029547e-02 -1.77288098e-01 -3.51041730e-01 -5.21666610e-01 -6.78859559e-01 -8.12915744e-01 -9.15318955e-01 -9.79339652e-01 -9.99775355e-01 -9.75473207e-01 -9.05641307e-01 -7.93802517e-01 -6.45164856e-01 -4.67168763e-01 -2.68904453e-01 -6.05887157e-02 1.47026047e-01 3.43264418e-01 5.18138393e-01 6.62917623e-01 7.70631388e-01 8.36155256e-01 8.58488739e-01
2.00000000e-01 8.36832288e-01 7.70719117e-01 6.72348199e-01 5.43682563e-01 3.94772061e-01 2.35282991e-01 7.52682696e-02 -7.53986548e-02 -2.07576783e-01 -3.13382197e-01 -3.86651900e-01 -4.23316885e-01 -4.21636535e-01 -3.82273199e-01 -3.08210272e-01 -2.04520188e-01 -7.79961303e-02 6.33171949e-02 2.10643071e-01 3.55014260e-01 4.87806057e-01 6.01251282e-01 6.88902496e-01 7.46042723e-01 7.69989008e-01 7.60226373e-01 7.18359167e-01 6.47987655e-01 5.54458162e-01 4.44443697e-01 3.25464798e-01 2.05378979e-01 9.18754691e-02 -8.02009807e-03 -8.83952725e-02 -1.44835700e-01 -1.74712799e-01 -1.77351356e-01 -1.54060489e-01 -1.08025754e-01 -4.40719434e-02 3.16842796e-02 1.12263123e-01 1.90302879e-01 2.58562935e-01 3.10423742e-01 3.40352553e-01 3.44305054e-01 3.20028977e-01 2.67246846e-01 1.87702687e-01 8.50663290e-02 -3.52955087e-02 -1.66660839e-01 -3.01374101e-01 -4.31325407e-01 -5.48455323e-01 -6.45274481e-01 -7.15363244e-01 -7.53851987e-01 -7.57794589e-01 -7.26369277e-01 -6.60963069e-01 -5.65164114e-01 -4.44563658e-01 -3.06386764e-01 -1.59054267e-01 -1.16822111e-02 1.26447645e-01 2.46439803e-01 3.40330682e-01 4.01609301e-01 4.25667672e-01 4.10135456e-01 3.55066987e-01 2.62975300e-01 1.38702771e-01 -1.08707391e-02 -1.77241208e-01 -3.50775380e-01 -5.21245887e-01 -6.78403395e-01 -8.12544325e-01 -9.15125149e-01 -9.79581918e-01 -9.99107393e-01 -9.75751535e-01 -9.05381714e-01 -7.93354255e-01 -6.44596200e-01 -4.66629715e-01 -2.68554787e-01 -6.05342274e-02 1.46779675e-01 3.42809413e-01 5.17624416e-01 6.62482376e-01 7.70322415e-01 8.34967194e-01 8.59346432e-01
3.00000000e-01 8.37974098e-01 7.68628894e-01 6.71755673e-01 5.43063979e-01 3.94272314e-01 2.35049838e-01 7.53609756e-02 -7.50204225e-02 -2.07016295e-01 -3.12749019e-01 -3.86015618e-01 -4.22697975e-01 -4.21026791e-01 -3.81666001e-01 -3.07628323e-01 -2.04028314e-01 -7.76852244e-02 6.33731247e-02 2.10428178e-01 3.54587966e-01 4.87280066e-01 6.00742061e-01 6.88473491e-01 7.45687952e-01 7.69669314e-01 7.59910359e-01 7.18013855e-01 6.47594616e-01 5.54053938e-01 4.44107194e-01 3.25278465e-01 2.05389177e-01 9.20806753e-02 -7.66111691e-03 -8.79401324e-02 -1.44337825e-01 -1.74211766e-01 -1.76875782e-01 -1.53636757e-01 -1.07684472e-01 -4.38467812e-02 3.17662178e-02 1.12192584e-01 1.90093725e-01 2.58245517e-01 3.10031560e-01 3.39910154e-01 3.43826226e-01 3.19524801e-01 2.66739486e-01 1.87237259e-01 8.47103013e-02 -3.54703835e-02 -1.66609761e-01 -3.01104775e-01 -4.30904431e-01 -5.47981657e-01 -6.44834792e-01 -7.14984387e-01 -7.53506977e-01 -7.57445872e-01 -7.25979959e-01 -6.60496225e-01 -5.64629459e-01 -4.44047585e-01 -3.06012931e-01 -1.58926075e-01 -1.18351174e-02 1.26053925e-01 2.45893681e-01 3.39719472e-01 4.00982718e-01 4.25032819e-01 4.09479385e-01 3.54388829e-01 2.62318408e-01 1.38168798e-01 -1.11496499e-02 -1.77163219e-01 -3.50332559e-01 -5.20546140e-01 -6.77643996e-01 -8.11923452e-01 -9.14810523e-01 -9.79968277e-01 -9.98013817e-01 -9.76196757e-01 -9.04958426e-01 -7.92604678e-01 -6.43649710e-01 -4.65733368e-01 -2.67973736e-01 -6.04436374e-02 1.46370403e-01 3.42053037e-01 5.16769206e-01 6.61759620e-01 7.69792286e-01 8.33014552e-01 8.60759771e-01
4.00000000e-01 8.39540529e-01 7.65756071e-01 6.70899675e-01 5.42203849e-01 3.93575062e-01 2.34724676e-01 7.54902783e-02 -7.44925589e-02 -2.06233352e-01 -3.11863541e-01 -3.85124916e-01 -4.21831091e-01 -4.20172781e-01 -3.80816088e-01 -3.06814528e-01 -2.03341154e-01 -7.72511750e-02 6.34512420e-02 2.10128434e-01 3.53992947e-01 4.86545263e-01 6.00029841e-01 6.87872672e-01 7.45190578e-01 7.69221069e-01 7.59467331e-01 7.17530111e-01 6.47044758e-01 5.53489030e-01 4.43637322e-01 3.25018440e-01 2.05403574e-01 9.23674036e-02 -7.15938443e-03 -8.73036814e-02 -1.43641274e-01 -1.73510591e-01 -1.76210226e-01 -1.53043887e-01 -1.07207133e-01 -4.35319414e-02 3.18808086e-02 1.12094065e-01 1.89801375e-01 2.57801602e-01 3.09482774e-01 3.39290843e-01 3.43155842e-01 3.18819110e-01 2.66029754e-01 1.86586658e-01 8.42129803e-02 -3.57145641e-02 -1.66538526e-01 -3.00728897e-01 -4.30316539e-01 -5.47319624e-01 -6.44219480e-01 -7.14453530e-01 -7.53023236e-01 -7.56956905e-01 -7.25434263e-01 -6.59842633e-01 -5.63881981e-01 -4.43326865e-01 -3.05491300e-01 -1.58747318e-01 -1.20485651e-02 1.25504178e-01 2.45130478e-01 3.38864432e-01 4.00105380e-01 4.24143530e-01 4.08560591e-01 3.53439892e-01 2.61400312e-01 1.37423376e-01 -1.15385994e-02 -1.77054374e-01 -3.49714903e-01 -5.19569550e-01 -6.76582624e-01 -8.11050566e-01 -9.14387198e-01 -9.80473277e-01 -9.96523403e-01 -9.76781586e-01 -9.04385002e-01 -7.91550303e-01 -6.42327237e-01 -4.64482813e-01 -2.67163874e-01 -6.03172800e-02 1.45800241e-01 3.40998219e-01 5.15574929e-01 6.60753104e-01 7.69018847e-01 8.30337789e-01 8.62704856e-01
5.00000000e-01 8.41500198e-01 7.62152567e-01 6.69755000e-01 5.41107593e-01 3.92682753e-01 2.34308742e-01 7.56556986e-02 -7.38167109e-02 -2.05229681e-01 -3.10726738e-01 -3.83979893e-01 -4.20715830e-01 -4.19074141e-01 -3.79723631e-01 -3.05769819e-01 -2.02460162e-01 -7.66951901e-02 6.35513656e-02 2.09744933e-01 3.53230981e-01 4.85603226e-01 5.99115311e-01 6.87099831e-01 7.44549916e-01 7.68643597e-01 7.58896679e-01 7.16907633e-01 6.46338482e-01 5.52764439e-01 4.43035305e-01 3.24685561e-01 2.05422289e-01 9.27350986e-02 -6.51573681e-03 -8.64866622e-02 -1.42746519e-01 -1.72609551e-01 -1.75354938e-01 -1.52282236e-01 -1.06594191e-01 -4.31278089e-02 3.20279305e-02 1.11967798e-01 1.89426293e-01 2.57231654e-01 3.08777653e-01 3.38494668e-01 3.42293877e-01 3.17912061e-01 2.65118221e-01 1.85751882e-01 8.35754760e-02 -3.60274119e-02 -1.66447407e-01 -3.00247639e-01 -4.29563201e-01 -5.46470319e-01 -6.43428804e-01 -7.13770218e-01 -7.52400039e-01 -7.56326930e-01 -7.24731542e-01 -6.59002288e-01 -5.62922718e-01 -4.42403269e-01 -3.04823592e-01 -1.58518701e-01 -1.23219393e-02 1.24799853e-01 2.44151554e-01 3.37766216e-01 3.98977173e-01 4.22999314e-01 4.07378787e-01 3.52220665e-01 2.60222559e-01 1.36468629e-01 -1.20360784e-02 -1.76915010e-01 -3.48924686e-01 -5.18319156e-01 -6.75220957e-01 -8.09922489e-01 -9.13871257e-01 -9.81062609e-01 -9.94674944e-01 -9.77469204e-01 -9.03679474e-01 -7.90186712e-01 -6.40631268e-01 -4.62882361e-01 -2.66128769e-01 -6.01556190e-02 1.45071976e-01 3.39649032e-01 5.14044693e-01 6.59467623e-01 7.67972287e-01 8.26992103e-01 8.65148872e-01
6.00000000e-01 8.43813768e-01 7.57882934e-01 6.68290996e-01 5.39781529e-01 3.91598600e-01 2.33803611e-01 7.58566293e-02 -7.29949742e-02 -2.04007490e-01 -3.09339856e-01 -3.82580683e-01 -4.19351681e-01 -4.17730413e-01 -3.78388850e-01 -3.04495389e-01 -2.01387190e-01 -7.60188076e-02 6.36732659e-02 2.09279073e-01 3.52304342e-01 4.84455973e-01 5.97999364e-01 6.86154708e-01 7.43765086e-01 7.67936034e-01 7.58197628e-01 7.16146036e-01 6.45476300e-01 5.51881451e-01 4.42302707e-01 3.24280896e-01 2.05445476e-01 9.31830534e-02 -5.73124208e-03 -8.54900268e-02 -1.41654170e-01 -1.71509001e-01 -1.74310240e-01 -1.51352260e-01 -1.05846227e-01 -4.26348746e-02 3.22074287e-02 1.11814080e-01 1.88969070e-01 2.56536271e-01 3.07916541e-01 3.37521696e-01 3.41240307e-01 3.16803861e-01 2.64005622e-01 1.84734206e-01 8.27992042e-02 -3.64081143e-02 -1.66336753e-01 -2.99662491e-01 -4.28646290e-01 -5.45435143e-01 -6.42463097e-01 -7.12933875e-01 -7.51636458e-01 -7.55554969e-01 -7.23870972e-01 -6.57975191e-01 -5.61753002e-01 -4.41279066e-01 -3.04012002e-01 -1.58241124e-01 -1.26544586e-02 1.23942794e-01 2.42958648e-01 3.36425665e-01 3.97597955e-01 4.21599553e-01 4.05933613e-01 3.50731783e-01 2.58787130e-01 1.35307264e-01 -1.26401704e-02 -1.76745560e-01 -3.47964805e-01 -5.16798849e-01 -6.73561003e-01 -8.08535800e-01 -9.13281904e-01 -9.81694365e-01 -9.92515821e-01 -9.78214576e-01 -9.02863436e-01 -7.88508971e-01 -6.38564826e-01 -4.60937527e-01 -2.64872958e-01 -5.99592443e-02 1.44189146e-01 3.38010656e-01 5.12182614e-01 6.57908593e-01 7.66616286e-01 8.23046031e-01 8.68050716e-01
7.00000000e-01 8.46434675e-01 7.53022795e-01 6.66472795e-01 5.38232431e-01 3.90326627e-01 2.33211183e-01 7.60923418e-02 -7.20298787e-02 -2.02569451e-01 -3.07704420e-01 -3.80927461e-01 -4.17738036e-01 -4.16141050e-01 -3.76812022e-01 -3.02992692e-01 -2.00124485e-01 -7.52238843e-02 6.38166687e-02 2.08732540e-01 3.51215781e-01 4.83105959e-01 5.96683091e-01 6.85036997e-01 7.42835029e-01 7.67097320e-01 7.57369229e-01 7.15244861e-01 6.44458838e-01 5.50841625e-01 4.41441422e-01 3.23805742e-01 2.05473322e-01 9.37104143e-02 -4.80719488e-03 -8.43149335e-02 -1.40364977e-01 -1.70209382e-01 -1.73076531e-01 -1.50254520e-01 -1.04963944e-01 -4.20537336e-02 3.24191166e-02 1.11633271e-01 1.88430422e-01 2.55716176e-01 3.06899859e-01 3.36372011e-01 3.39995108e-01 3.15494769e-01 2.62692857e-01 1.83535179e-01 8.18858788e-02 -3.68556899e-02 -1.66206987e-01 -2.98975259e-01 -4.27568084e-01 -5.44215803e-01 -6.41322771e-01 -7.11943807e-01 -7.50731362e-01 -7.54639833e-01 -7.22851559e-01 -6.56761354e-01 -5.60374458e-01 -4.39957007e-01 -3.03059183e-01 -1.57915676e-01 -1.30451818e-02 1.22935229e-01 2.41553867e-01 3.34843805e-01 3.95967563e-01 4.19943505e-01 4.04224646e-01 3.48974031e-01 2.57096431e-01 1.33942556e-01 -1.33485682e-02 -1.76546545e-01 -3.46838757e-01 -5.15013345e-01 -6.71605006e-01 -8.06887281e-01 -9.12640437e-01 -9.82320582e-01 -9.90100253e-01 -9.78966066e-01 -9.01960939e-01 -7.86512145e-01 -6.36131360e-01 -4.58655002e-01 -2.63401902e-01 -5.97288674e-02 1.43156010e-01 3.36089345e-01 5.09993889e-01 6.56081534e-01 7.64909432e-01 8.18579711e-01 8.71361776e-01
8.00000000e-01 8.49309980e-01 7.47657002e-01 6.64262741e-01 5.36467033e-01 3.88871698e-01 2.32533671e-01 7.63619938e-02 -7.09243688e-02 -2.00918692e-01 -3.05822228e-01 -3.79020447e-01 -4.15874196e-01 -4.14305423e-01 -3.74993485e-01 -3.01263438e-01 -1.98674669e-01 -7.43125819e-02 6.39812583e-02 2.08107299e-01 3.49968514e-01 4.81556062e-01 5.95167788e-01 6.83746350e-01 7.41758503e-01 7.66126208e-01 7.56410373e-01 7.14203577e-01 6.43286835e-01 5.49646800e-01 4.40453670e-01 3.23261613e-01 2.05506048e-01 9.43161875e-02 -3.74511009e-03 -8.29627444e-02 -1.38879825e-01 -1.68711222e-01 -1.71654288e-01 -1.48989674e-01 -1.03948170e-01 -4.13850811e-02 3.26627772e-02 1.11425791e-01 1.87811190e-01 2.54772217e-01 3.05728106e-01 3.35045718e-01 3.38558262e-01 3.13985103e-01 2.61180991e-01 1.82156620e-01 8.08375011e-02 -3.73689965e-02 -1.66058608e-01 -2.98188052e-01 -4.26331245e-01 -5.42814302e-01 -6.40008323e-01 -7.10799206e-01 -7.49683423e-01 -7.53580120e-01 -7.21672143e-01 -6.55360810e-01 -5.58789003e-01 -4.38440317e-01 -3.01968230e-01 -1.57543627e-01 -1.34930160e-02 1.21779754e-01 2.39939678e-01 3.33021851e-01 3.94085820e-01 4.18030315e-01 4.02251406e-01 3.46948349e-01 2.55153292e-01 1.32378322e-01 -1.41585949e-02 -1.76318580e-01 -3.45550624e-01 -5.12968162e-01 -6.69355354e-01 -8.04974424e-01 -9.11969094e-01 -9.82889003e-01 -9.87487298e-01 -9.79667271e-01 -9.00997244e-01 -7.84191865e-01 -6.33334634e-01 -4.56042621e-01 -2.61721942e-01 -5.94653153e-02 1.41977505e-01 3.33892384e-01 5.07484870e-01 6.53991499e-01 7.62806860e-01 8.13682863e-01 8.75026847e-01
9.00000000e-01 8.52381335e-01 7.41877594e-01 6.61621958e-01 5.34491494e-01 3.87239548e-01 2.31773588e-01 7.66646380e-02 -6.96817820e-02 -1.99058776e-01 -3.03695351e-01 -3.76859917e-01 -4.13759381e-01 -4.12222830e-01 -3.72933643e-01 -2.99309588e-01 -1.97040728e-01 -7.32873518e-02 6.41666814e-02 2.07405584e-01 3.48566204e-01 4.79809575e-01 5.93454958e-01 6.82282387e-01 7.40534098e-01 7.65021258e-01 7.55319786e-01 7.13021588e-01 6.41961146e-01 5.48299078e-01 4.39341979e-01 3.22650239e-01 2.05543907e-01 9.49992462e-02 -2.54671551e-03 -8.14350218e-02 -1.37199743e-01 -1.67015140e-01 -1.70044067e-01 -1.47558486e-01 -1.02799851e-01 -4.06297096e-02 3.29381645e-02 1.11192117e-01 1.87112326e-01 2.53705361e-01 3.04401853e-01 3.33542946e-01 3.36929761e-01 3.12275240e-01 2.59471253e-01 1.80600614e-01 7.96563490e-02 -3.79467388e-02 -1.65892184e-01 -2.97303267e-01 -4.24938818e-01 -5.41232939e-01 -6.38520334e-01 -7.09499157e-01 -7.48491116e-01 -7.52374219e-01 -7.20331408e-01 -6.53773615e-01 -5.56998840e-01 -4.36732682e-01 -3.00742663e-01 -1.57126422e-01 -1.39967258e-02 1.20479313e-01 2.38118897e-01 3.30961199e-01 3.91952544e-01 4.15859024e-01 4.00013370e-01 3.44655837e-01 2.52960951e-01 1.30618903e-01 -1.50672277e-02 -1.76062365e-01 -3.44105038e-01 -5.10669583e-01 -6.66814481e-01 -8.02795953e-01 -9.11289804e-01 -9.83344983e-01 -9.84738680e-01 -9.80259033e-01 -8.99997472e-01 -7.81544938e-01 -6.30178610e-01 -4.53109314e-01 -2.59840245e-01 -5.91695241e-02 1.40659200e-01 3.31428046e-01 5.04663126e-01 6.51642463e-01 7.60262047e-01 8.08452524e-01 8.78985158e-01
