# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49
0.00000000e+00 -2.50919762e-01 9.01428613e-01 4.63987884e-01 1.97316968e-01 -6.87962719e-01 -6.88010959e-01 -8.83832776e-01 7.32352292e-01 2.02230023e-01 4.16145156e-01 -9.58831011e-01 9.39819704e-01 6.64885282e-01 -5.75321779e-01 -6.36350066e-01 -6.33190980e-01 -3.91515514e-01 4.95128633e-02 -1.36109963e-01 -4.17541720e-01 2.23705789e-01 -7.21012279e-01 -4.15710703e-01 -2.67276313e-01 -8.78600316e-02 5.70351923e-01 -6.00652436e-01 2.84688768e-02 1.84829138e-01 -9.07099175e-01 2.15089704e-01 -6.58951753e-01 -8.69896814e-01 8.97771075e-01 9.31264066e-01 6.16794696e-01 -3.90772462e-01 -8.04655772e-01 3.68466053e-01 -1.19695013e-01 -7.55923530e-01 -9.64617978e-03 -9.31222958e-01 8.18640804e-01 -4.82440037e-01 3.25044569e-01 -3.76577848e-01 4.01360424e-02 9.34205587e-02 -6.30291089e-01
1.00000000e-01 -2.47078294e-01 8.95777821e-01 4.65040527e-01 1.95093808e-01 -6.84666766e-01 -6.89065870e-01 -8.78097846e-01 7.25773529e-01 2.04331145e-01 4.11680662e-01 -9.49528075e-01 9.33760488e-01 6.61845537e-01 -5.71823677e-01 -6.36155984e-01 -6.32353493e-01 -3.90768185e-01 4.73042169e-02 -1.36486636e-01 -4.14213980e-01 2.18099333e-01 -7.16471567e-01 -4.16506133e-01 -2.67027444e-01 -8.62308479e-02 5.63954123e-01 -5.94337713e-01 2.67162051e-02 1.80464531e-01 -8.99223585e-01 2.08459723e-01 -6.56779956e-01 -8.64435162e-01 8.93086263e-01 9.30043955e-01 6.14723101e-01 -3.89432544e-01 -7.98934555e-01 3.62829046e-01 -1.20549099e-01 -7.50697358e-01 -1.53995346e-02 -9.22904954e-01 8.09386258e-01 -4.75875290e-01 3.19854474e-01 -3.72526479e-01 3.87843311e-02 9.13459009e-02 -6.28393509e-01
2.00000000e-01 -2.35617341e-01 8.78943016e-01 4.68115776e-01 1.88500180e-01 -6.74866834e-01 -6.92128805e-01 -8.61057050e-01 7.06210574e-01 2.10513444e-01 3.98443844e-01 -9.21846120e-01 9.15728545e-01 6.52753701e-01 -5.61409674e-01 -6.35540021e-01 -6.29846681e-01 -3.88551156e-01 4.07181036e-02 -1.37601174e-01 -4.04334438e-01 2.01436971e-01 -7.02978769e-01 -4.18836835e-01 -2.66280117e-01 -8.14195600e-02 5.44930129e-01 -5.75563605e-01 2.15031342e-02 1.67492030e-01 -8.75814691e-01 1.88757759e-01 -6.50307119e-01 -8.48162377e-01 8.79149193e-01 9.26340178e-01 6.08546555e-01 -3.85402963e-01 -7.81902018e-01 3.46050211e-01 -1.23098886e-01 -7.35160358e-01 -3.24567779e-02 -8.98199578e-01 7.81880857e-01 -4.56395856e-01 3.04452402e-01 -3.60492241e-01 3.47692906e-02 8.51514840e-02 -6.22725895e-01
3.00000000e-01 -2.16726014e-01 8.51274004e-01 4.72968645e-01 1.77760767e-01 -6.58823474e-01 -6.96898553e-01 -8.33196933e-01 6.74177866e-01 2.20418652e-01 3.76899081e-01 -8.76459265e-01 8.86156762e-01 6.37692106e-01 -5.44318752e-01 -6.34402375e-01 -6.25687315e-01 -3.84938549e-01 2.98732119e-02 -1.39407956e-01 -3.88210823e-01 1.74184959e-01 -6.80917762e-01 -4.22538175e-01 -2.65032325e-01 -7.36521812e-02 5.13783093e-01 -5.44835492e-01 1.29632935e-02 1.46271995e-01 -8.37519685e-01 1.56542278e-01 -6.39659596e-01 -8.21412219e-01 8.56308345e-01 9.20024729e-01 5.98378710e-01 -3.78655192e-01 -7.53947977e-01 3.18522776e-01 -1.27307268e-01 -7.09732758e-01 -6.02162784e-02 -8.57844610e-01 7.36891069e-01 -4.24638936e-01 2.79337259e-01 -3.40830867e-01 2.82096759e-02 7.49257648e-02 -6.13363276e-01
4.00000000e-01 -1.90715341e-01 8.13344175e-01 4.79200888e-01 1.63240557e-01 -6.36960293e-01 -7.02886851e-01 -7.95310501e-01 6.30514434e-01 2.33465859e-01 3.47801869e-01 -8.14469776e-01 8.45752617e-01 6.16798376e-01 -5.20942867e-01 -6.32581182e-01 -6.19902774e-01 -3.80051410e-01 1.49647402e-02 -1.41833631e-01 -3.66345146e-01 1.37104681e-01 -6.50914709e-01 -4.27342813e-01 -2.63281218e-01 -6.32962440e-02 4.71334891e-01 -5.02979809e-01 1.31541757e-03 1.17393174e-01 -7.85395990e-01 1.12726020e-01 -6.25043674e-01 -7.84731861e-01 8.25132583e-01 9.10891933e-01 5.84405432e-01 -3.69144857e-01 -7.15710450e-01 2.80891106e-01 -1.33113428e-01 -6.75100653e-01 -9.76978590e-02 -8.03042892e-01 6.75667145e-01 -3.81642712e-01 2.45321672e-01 -3.14122481e-01 1.92983900e-02 6.08154515e-02 -6.00429549e-01
5.00000000e-01 -1.58012156e-01 7.65936359e-01 4.86275753e-01 1.45430994e-01 -6.09848416e-01 -7.09438480e-01 -7.48471016e-01 5.76357033e-01 2.48875192e-01 3.12171795e-01 -7.37376872e-01 7.95477653e-01 5.90265966e-01 -4.91817572e-01 -6.29859072e-01 -6.12530218e-01 -3.74054056e-01 -3.73947722e-03 -1.44781030e-01 -3.39417760e-01 9.12295936e-02 -6.13818086e-01 -4.32891005e-01 -2.61023818e-01 -5.08473962e-02 4.18701595e-01 -4.51120739e-01 -1.31425119e-02 8.16553008e-02 -7.20880085e-01 5.85495031e-02 -6.06739273e-01 -7.38868499e-01 7.86393657e-01 8.98669628e-01 5.66879601e-01 -3.56816354e-01 -6.68058513e-01 2.34034483e-01 -1.40434336e-01 -6.32195069e-01 -1.43575807e-01 -7.35423093e-01 5.99903297e-01 -3.28811480e-01 2.03504352e-01 -2.81152915e-01 8.29516171e-03 4.30243917e-02 -5.84095763e-01
6.00000000e-01 -1.19150732e-01 7.10023566e-01 4.93537913e-01 1.24931334e-01 -5.78185585e-01 -7.15758326e-01 -6.93996595e-01 5.13103845e-01 2.65699669e-01 2.71256074e-01 -6.47034422e-01 7.36519662e-01 5.58344737e-01 -4.57609210e-01 -6.25972052e-01 -6.03615484e-01 -3.67149068e-01 -2.59042989e-02 -1.48134386e-01 -3.08265793e-01 3.78340061e-02 -5.70671639e-01 -4.38744532e-01 -2.58257968e-01 -3.69112876e-02 3.57260224e-01 -3.90648551e-01 -3.00412460e-02 4.00454884e-02 -6.45745195e-01 -4.45492701e-03 -5.85091430e-01 -6.84751123e-01 7.41042495e-01 8.83034224e-01 5.46114067e-01 -3.41609061e-01 -6.12068978e-01 1.79045016e-01 -1.49166734e-01 -5.82163614e-01 -1.96223511e-01 -6.56986659e-01 5.11683843e-01 -2.67868536e-01 1.55232753e-01 -2.42888457e-01 -4.48329378e-03 2.18119524e-02 -5.64577736e-01
7.00000000e-01 -7.47623721e-02 6.46745155e-01 5.00237916e-01 1.02425911e-01 -5.42770695e-01 -7.20944392e-01 -6.33406846e-01 4.42370025e-01 2.82864041e-01 2.26484936e-01 -5.45598867e-01 6.70258459e-01 5.21341435e-01 -4.19098960e-01 -6.20620433e-01 -5.93211767e-01 -3.59571106e-01 -5.11339607e-02 -1.51765623e-01 -2.73856658e-01 -2.16053396e-02 -5.22681187e-01 -4.44403734e-01 -2.54983472e-01 -2.21813725e-02 2.88607788e-01 -3.23180520e-01 -4.89501549e-02 -6.29085549e-03 -5.62049134e-01 -7.45074383e-02 -5.60499855e-01 -6.23467941e-01 6.90180058e-01 8.63629034e-01 5.22472991e-01 -3.23464881e-01 -5.48997585e-01 1.17200251e-01 -1.59189539e-01 -5.26335629e-01 -2.53768214e-01 -5.70042747e-01 4.13417151e-01 -2.00798446e-01 1.02057341e-01 -2.00444901e-01 -1.86752367e-02 -2.50916561e-03 -5.42133027e-01
8.00000000e-01 -2.55632064e-02 5.77379080e-01 5.05560324e-01 7.86581804e-02 -5.04474755e-01 -7.24025504e-01 -5.68373038e-01 3.65936630e-01 2.99209119e-01 1.79420451e-01 -4.35468976e-01 5.98226332e-01 4.79619880e-01 -3.77164118e-01 -6.13481449e-01 -5.81378142e-01 -3.51579660e-01 -7.89799972e-02 -1.55541449e-01 -2.37257513e-01 -8.54536493e-02 -4.71176343e-01 -4.49327091e-01 -2.51203361e-01 -7.41339333e-03 2.14513924e-01 -2.50515572e-01 -6.93887537e-02 -5.60837007e-02 -4.72073856e-01 -1.49632090e-01 -5.33406933e-01 -5.56240057e-01 6.35023686e-01 8.40085181e-01 4.96361855e-01 -3.02336831e-01 -4.80245525e-01 4.99312164e-02 -1.70366537e-01 -4.66181982e-01 -3.14154024e-01 -4.77133356e-01 3.07759608e-01 -1.29780681e-01 4.56790348e-02 -1.55051969e-01 -3.38875111e-02 -2.95757438e-02 -5.17057299e-01
9.00000000e-01 2.76595302e-02 5.03310961e-01 5.08654567e-01 5.44025245e-02 -4.64209394e-01 -7.24002306e-01 -5.00663534e-01 2.85694717e-01 3.13539898e-01 1.31700629e-01 -3.19219319e-01 5.22064419e-01 4.33600678e-01 -3.32757055e-01 -6.04223160e-01 -5.68178014e-01 -3.43450969e-01 -1.08950251e-01 -1.59330896e-01 -1.99601678e-01 -1.51967016e-01 -4.17568420e-01 -4.52952613e-01 -2.46925222e-01 6.60257074e-03 1.36868574e-01 -1.74583993e-01 -9.08395597e-02 -1.07975621e-01 -3.78258579e-01 -2.27713706e-01 -5.04284553e-01 -4.84392116e-01 5.76870023e-01 8.12044252e-01 4.68216463e-01 -2.78198302e-01 -4.07322257e-01 -2.12132453e-02 -1.82549259e-01 -4.03270791e-01 -3.75211064e-01 -3.80951169e-01 1.97532168e-01 -5.71169170e-02 -1.21083372e-02 -1.08014304e-01 -4.97102550e-02 -5.89775607e-02 -4.89680096e-01
