# time site_0 site_1 site_2 site_3 site_4 site_5 site_6 site_7 site_8 site_9 site_10 site_11 site_12 site_13 site_14 site_15 site_16 site_17 site_18 site_19 site_20 site_21 site_22 site_23 site_24 site_25 site_26 site_27 site_28 site_29 site_30 site_31 site_32 site_33 site_34 site_35 site_36 site_37 site_38 site_39 site_40 site_41 site_42 site_43 site_44 site_45 site_46 site_47 site_48 site_49 site_50 site_51 site_52 site_53 site_54 site_55 site_56 site_57 site_58 site_59 site_60 site_61 site_62 site_63 site_64 site_65 site_66 site_67 site_68 site_69 site_70 site_71 site_72 site_73 site_74 site_75 site_76 site_77 site_78 site_79 site_80 site_81 site_82 site_83 site_84 site_85 site_86 site_87 site_88 site_89 site_90 site_91 site_92 site_93 site_94 site_95 site_96 site_97 site_98 site_99
0.00000000e+00 0.00000000e+00 2.48689887e-01 4.81753674e-01 6.84547106e-01 8.44327926e-01 9.51056516e-01 9.98026728e-01 9.82287251e-01 9.04827052e-01 7.70513243e-01 5.87785252e-01 3.68124553e-01 1.25333234e-01 -1.25333234e-01 -3.68124553e-01 -5.87785252e-01 -7.70513243e-01 -9.04827052e-01 -9.82287251e-01 -9.98026728e-01 -9.51056516e-01 -8.44327926e-01 -6.84547106e-01 -4.81753674e-01 -2.48689887e-01 -2.22044605e-16 2.48689887e-01 4.81753674e-01 6.84547106e-01 8.44327926e-01 9.51056516e-01 9.98026728e-01 9.82287251e-01 9.04827052e-01 7.70513243e-01 5.87785252e-01 3.68124553e-01 1.25333234e-01 -1.25333234e-01 -3.68124553e-01 -5.87785252e-01 -7.70513243e-01 -9.04827052e-01 -9.82287251e-01 -9.98026728e-01 -9.51056516e-01 -8.44327926e-01 -6.84547106e-01 -4.81753674e-01 -2.48689887e-01 -4.44089210e-16 2.48689887e-01 4.81753674e-01 6.84547106e-01 8.44327926e-01 9.51056516e-01 9.98026728e-01 9.82287251e-01 9.04827052e-01 7.70513243e-01 5.87785252e-01 3.68124553e-01 1.25333234e-01 -1.25333234e-01 -3.68124553e-01 -5.87785252e-01 -7.70513243e-01 -9.04827052e-01 -9.82287251e-01 -9.98026728e-01 -9.51056516e-01 -8.44327926e-01 -6.84547106e-01 -4.81753674e-01 -2.48689887e-01 -7.21644966e-16 2.48689887e-01 4.81753674e-01 6.84547106e-01 8.44327926e-01 9.51056516e-01 9.98026728e-01 9.82287251e-01 9.04827052e-01 7.70513243e-01 5.87785252e-01 3.68124553e-01 1.25333234e-01 -1.25333234e-01 -3.68124553e-01 -5.87785252e-01 -7.70513243e-01 -9.04827052e-01 -9.82287251e-01 -9.98026728e-01 -9.51056516e-01 -8.44327926e-01 -6.84547106e-01 -4.81753674e-01 -2.48689887e-01
1.00000000e-01 8.93652531e-04 2.48531561e-01 4.81501867e-01 6.84299133e-01 8.44161665e-01 9.51136730e-01 9.97798652e-01 9.82274293e-01 9.04779460e-01 7.70299102e-01 5.87523361e-01 3.67908048e-01 1.25249459e-01 -1.25249459e-01 -3.67908048e-01 -5.87523361e-01 -7.70299102e-01 -9.04779460e-01 -9.82274293e-01 -9.97798652e-01 -9.51136730e-01 -8.44161665e-01 -6.84299133e-01 -4.81501824e-01 -2.48531367e-01 6.11864183e-08 2.48531219e-01 4.81502057e-01 6.84298773e-01 8.44161973e-01 9.51136566e-01 9.97798683e-01 9.82274387e-01 9.04779222e-01 7.70299468e-01 5.87523066e-01 3.67908231e-01 1.25249330e-01 -1.25249330e-01 -3.67908231e-01 -5.87523066e-01 -7.70299468e-01 -9.04779222e-01 -9.82274387e-01 -9.97798683e-01 -9.51136566e-01 -8.44161973e-01 -6.84298773e-01 -4.81502057e-01 -2.48531219e-01 -6.11864179e-08 2.48531367e-01 4.81501824e-01 6.84299133e-01 8.44161665e-01 9.51136730e-01 9.97798652e-01 9.82274293e-01 9.04779460e-01 7.70299102e-01 5.87523361e-01 3.67908048e-01 1.25249459e-01 -1.25249459e-01 -3.67908048e-01 -5.87523361e-01 -7.70299102e-01 -9.04779460e-01 -9.82274293e-01 -9.97798652e-01 -9.51136730e-01 -8.44161665e-01 -6.84299133e-01 -4.81501824e-01 -2.48531367e-01 6.11864179e-08 2.48531219e-01 4.81502057e-01 6.84298773e-01 8.44161973e-01 9.51136566e-01 9.97798683e-01 9.82274387e-01 9.04779222e-01 7.70299468e-01 5.87523066e-01 3.67908231e-01 1.25249330e-01 -1.25249330e-01 -3.67908231e-01 -5.87523066e-01 -7.70299468e-01 -9.04779222e-01 -9.82274387e-01 -9.97798683e-01 -9.51136566e-01 -8.44161981e-01 -6.84298635e-01 -4.81230431e-01 -2.49696925e-01
2.00000000e-01 3.56920350e-03 2.48060617e-01 4.80748207e-01 6.83555007e-01 8.43665541e-01 9.51371991e-01 9.97118981e-01 9.82232159e-01 9.04636876e-01 7.69657228e-01 5.86738295e-01 3.67259666e-01 1.24998661e-01 -1.24998661e-01 -3.67259666e-01 -5.86738295e-01 -7.69657228e-01 -9.04636876e-01 -9.82232159e-01 -9.97118981e-01 -9.51371991e-01 -8.43665541e-01 -6.83555005e-01 -4.80747357e-01 -2.48056738e-01 2.42045953e-07 2.48056152e-01 4.80748279e-01 6.83553577e-01 8.43666760e-01 9.51371343e-01 9.97119104e-01 9.82232532e-01 9.04635933e-01 7.69658678e-01 5.86737126e-01 3.67260388e-01 1.24998153e-01 -1.24998153e-01 -3.67260388e-01 -5.86737126e-01 -7.69658678e-01 -9.04635933e-01 -9.82232532e-01 -9.97119104e-01 -9.51371343e-01 -8.43666760e-01 -6.83553577e-01 -4.80748279e-01 -2.48056152e-01 -2.42045954e-07 2.48056738e-01 4.80747357e-01 6.83555005e-01 8.43665541e-01 9.51371991e-01 9.97118981e-01 9.82232159e-01 9.04636876e-01 7.69657228e-01 5.86738295e-01 3.67259666e-01 1.24998661e-01 -1.24998661e-01 -3.67259666e-01 -5.86738295e-01 -7.69657228e-01 -9.04636876e-01 -9.82232159e-01 -9.97118981e-01 -9.51371991e-01 -8.43665541e-01 -6.83555005e-01 -4.80747357e-01 -2.48056738e-01 2.42045953e-07 2.48056152e-01 4.80748279e-01 6.83553577e-01 8.43666760e-01 9.51371343e-01 9.97119104e-01 9.82232532e-01 9.04635933e-01 7.69658678e-01 5.86737126e-01 3.67260388e-01 1.24998153e-01 -1.24998153e-01 -3.67260388e-01 -5.86737126e-01 -7.69658678e-01 -9.04635933e-01 -9.82232532e-01 -9.97119104e-01 -9.51371343e-01 -8.43666929e-01 -6.83550833e-01 -4.79672410e-01 -2.52708773e-01
3.00000000e-01 8.01048666e-03 2.47289098e-01 4.79497957e-01 6.82314164e-01 8.42847410e-01 9.51746330e-01 9.96001223e-01 9.82151191e-01 9.04399825e-01 7.68589278e-01 5.85431883e-01 3.66182784e-01 1.24582421e-01 -1.24582421e-01 -3.66182784e-01 -5.85431883e-01 -7.68589278e-01 -9.04399825e-01 -9.82151191e-01 -9.96001223e-01 -9.51746330e-01 -8.42847411e-01 -6.82314145e-01 -4.79493496e-01 -2.47268789e-01 5.34588996e-07 2.47267497e-01 4.79495535e-01 6.82310980e-01 8.42850114e-01 9.51744896e-01 9.96001494e-01 9.82152015e-01 9.04397735e-01 7.68592494e-01 5.85429293e-01 3.66184380e-01 1.24581298e-01 -1.24581298e-01 -3.66184380e-01 -5.85429293e-01 -7.68592494e-01 -9.04397735e-01 -9.82152015e-01 -9.96001494e-01 -9.51744896e-01 -8.42850114e-01 -6.82310980e-01 -4.79495535e-01 -2.47267497e-01 -5.34588998e-07 2.47268789e-01 4.79493496e-01 6.82314145e-01 8.42847411e-01 9.51746330e-01 9.96001223e-01 9.82151191e-01 9.04399825e-01 7.68589278e-01 5.85431883e-01 3.66182784e-01 1.24582421e-01 -1.24582421e-01 -3.66182784e-01 -5.85431883e-01 -7.68589278e-01 -9.04399825e-01 -9.82151191e-01 -9.96001223e-01 -9.51746330e-01 -8.42847411e-01 -6.82314145e-01 -4.79493496e-01 -2.47268789e-01 5.34588997e-07 2.47267497e-01 4.79495535e-01 6.82310980e-01 8.42850114e-01 9.51744896e-01 9.96001494e-01 9.82152015e-01 9.04397735e-01 7.68592494e-01 5.85429293e-01 3.66184380e-01 1.24581298e-01 -1.24581298e-01 -3.66184380e-01 -5.85429293e-01 -7.68592494e-01 -9.04397735e-01 -9.82152015e-01 -9.96001493e-01 -9.51744898e-01 -8.42850975e-01 -6.82296698e-01 -4.77114490e-01 -2.57697771e-01
4.00000000e-01 1.41907364e-02 2.46236879e-01 4.77759823e-01 6.80575878e-01 8.41719987e-01 9.52233687e-01 9.94467348e-01 9.82015677e-01 9.04069013e-01 7.67098057e-01 5.83607181e-01 3.64682991e-01 1.24003345e-01 -1.24003345e-01 -3.64682991e-01 -5.83607181e-01 -7.67098057e-01 -9.04069013e-01 -9.82015677e-01 -9.94467348e-01 -9.52233687e-01 -8.41719990e-01 -6.80575771e-01 -4.77745554e-01 -2.46172137e-01 9.25860346e-07 2.46169899e-01 4.77749095e-01 6.80570260e-01 8.41724699e-01 9.52231195e-01 9.94467816e-01 9.82017106e-01 9.04065374e-01 7.67103661e-01 5.83602677e-01 3.64685756e-01 1.24001401e-01 -1.24001401e-01 -3.64685756e-01 -5.83602677e-01 -7.67103661e-01 -9.04065374e-01 -9.82017106e-01 -9.94467816e-01 -9.52231195e-01 -8.41724699e-01 -6.80570260e-01 -4.77749095e-01 -2.46169899e-01 -9.25860349e-07 2.46172137e-01 4.77745554e-01 6.80575771e-01 8.41719990e-01 9.52233687e-01 9.94467348e-01 9.82015677e-01 9.04069013e-01 7.67098057e-01 5.83607181e-01 3.64682991e-01 1.24003345e-01 -1.24003345e-01 -3.64682991e-01 -5.83607181e-01 -7.67098057e-01 -9.04069013e-01 -9.82015677e-01 -9.94467348e-01 -9.52233687e-01 -8.41719990e-01 -6.80575771e-01 -4.77745554e-01 -2.46172137e-01 9.25860348e-07 2.46169899e-01 4.77749095e-01 6.80570260e-01 8.41724699e-01 9.52231195e-01 9.94467816e-01 9.82017106e-01 9.04065374e-01 7.67103661e-01 5.83602677e-01 3.64685756e-01 1.24001401e-01 -1.24001401e-01 -3.64685756e-01 -5.83602677e-01 -7.67103661e-01 -9.04065374e-01 -9.82017106e-01 -9.94467816e-01 -9.52231211e-01 -8.41727354e-01 -6.80525129e-01 -4.73613957e-01 -2.64618274e-01
5.00000000e-01 2.20728524e-02 2.44931362e-01 4.75545849e-01 6.78339563e-01 8.40300292e-01 9.52798727e-01 9.92546993e-01 9.81804419e-01 9.03645076e-01 7.65187578e-01 5.81268488e-01 3.62768018e-01 1.23265045e-01 -1.23265045e-01 -3.62768018e-01 -5.81268488e-01 -7.65187578e-01 -9.03645076e-01 -9.81804419e-01 -9.92546993e-01 -9.52798727e-01 -8.40300304e-01 -6.78339154e-01 -4.75510844e-01 -2.44773175e-01 1.39846550e-06 2.44769797e-01 4.75516207e-01 6.78330774e-01 8.40307471e-01 9.52794947e-01 9.92547701e-01 9.81806580e-01 9.03639545e-01 7.65196107e-01 5.81261652e-01 3.62772199e-01 1.23262109e-01 -1.23262109e-01 -3.62772199e-01 -5.81261652e-01 -7.65196107e-01 -9.03639545e-01 -9.81806580e-01 -9.92547701e-01 -9.52794947e-01 -8.40307471e-01 -6.78330774e-01 -4.75516207e-01 -2.44769797e-01 -1.39846550e-06 2.44773175e-01 4.75510844e-01 6.78339154e-01 8.40300304e-01 9.52798727e-01 9.92546993e-01 9.81804419e-01 9.03645076e-01 7.65187578e-01 5.81268488e-01 3.62768018e-01 1.23265045e-01 -1.23265045e-01 -3.62768018e-01 -5.81268488e-01 -7.65187578e-01 -9.03645076e-01 -9.81804419e-01 -9.92546993e-01 -9.52798727e-01 -8.40300304e-01 -6.78339154e-01 -4.75510844e-01 -2.44773175e-01 1.39846550e-06 2.44769797e-01 4.75516207e-01 6.78330774e-01 8.40307471e-01 9.52794947e-01 9.92547701e-01 9.81806580e-01 9.03639545e-01 7.65196107e-01 5.81261652e-01 3.62772199e-01 1.23262109e-01 -1.23262109e-01 -3.62772199e-01 -5.81261652e-01 -7.65196107e-01 -9.03639545e-01 -9.81806580e-01 -9.92547700e-01 -9.52795009e-01 -8.40313677e-01 -6.78221747e-01 -4.69249274e-01 -2.73407327e-01
6.00000000e-01 3.16097660e-02 2.43407072e-01 4.72871290e-01 6.75605183e-01 8.38608909e-01 9.53397941e-01 9.90276390e-01 9.81491493e-01 9.03128264e-01 7.62863134e-01 5.78421373e-01 3.60447656e-01 1.22372087e-01 -1.22372087e-01 -3.60447656e-01 -5.78421373e-01 -7.62863134e-01 -9.03128264e-01 -9.81491493e-01 -9.90276390e-01 -9.53397941e-01 -8.38608943e-01 -6.75603967e-01 -4.72798555e-01 -2.43080009e-01 1.93127811e-06 2.43075346e-01 4.72805988e-01 6.75592294e-01 8.38618932e-01 9.53392695e-01 9.90277368e-01 9.81494482e-01 9.03120562e-01 7.62875025e-01 5.78411872e-01 3.60453434e-01 1.22368032e-01 -1.22368032e-01 -3.60453434e-01 -5.78411872e-01 -7.62875025e-01 -9.03120562e-01 -9.81494482e-01 -9.90277368e-01 -9.53392695e-01 -8.38618932e-01 -6.75592294e-01 -4.72805988e-01 -2.43075346e-01 -1.93127811e-06 2.43080009e-01 4.72798555e-01 6.75603967e-01 8.38608943e-01 9.53397941e-01 9.90276390e-01 9.81491493e-01 9.03128264e-01 7.62863134e-01 5.78421373e-01 3.60447656e-01 1.22372087e-01 -1.22372087e-01 -3.60447656e-01 -5.78421373e-01 -7.62863134e-01 -9.03128264e-01 -9.81491493e-01 -9.90276390e-01 -9.53397941e-01 -8.38608943e-01 -6.75603967e-01 -4.72798555e-01 -2.43080009e-01 1.93127811e-06 2.43075346e-01 4.72805988e-01 6.75592294e-01 8.38618932e-01 9.53392695e-01 9.90277368e-01 9.81494482e-01 9.03120562e-01 7.62875025e-01 5.78411872e-01 3.60453434e-01 1.22368032e-01 -1.22368032e-01 -3.60453434e-01 -5.78411872e-01 -7.62875025e-01 -9.03120562e-01 -9.81494482e-01 -9.90277366e-01 -9.53392879e-01 -8.38631071e-01 -6.75370003e-01 -4.64118390e-01 -2.83985591e-01
7.00000000e-01 4.27449019e-02 2.41705133e-01 4.69754449e-01 6.72373743e-01 8.36669079e-01 9.53980998e-01 9.87697052e-01 9.81047175e-01 9.02518038e-01 7.60131388e-01 5.75072695e-01 3.57733637e-01 1.21329940e-01 -1.21329940e-01 -3.57733637e-01 -5.75072695e-01 -7.60131388e-01 -9.02518038e-01 -9.81047175e-01 -9.87697052e-01 -9.53980999e-01 -8.36669157e-01 -6.72370697e-01 -4.69619613e-01 -2.41102367e-01 2.50030079e-06 2.41096333e-01 4.69629277e-01 6.72355428e-01 8.36682238e-01 9.53974166e-01 9.87698321e-01 9.81051054e-01 9.02507968e-01 7.60146962e-01 5.75060302e-01 3.57741123e-01 1.21324692e-01 -1.21324692e-01 -3.57741123e-01 -5.75060302e-01 -7.60146962e-01 -9.02507968e-01 -9.81051054e-01 -9.87698321e-01 -9.53974166e-01 -8.36682238e-01 -6.72355428e-01 -4.69629277e-01 -2.41096333e-01 -2.50030079e-06 2.41102367e-01 4.69619613e-01 6.72370697e-01 8.36669157e-01 9.53980999e-01 9.87697052e-01 9.81047175e-01 9.02518038e-01 7.60131388e-01 5.75072695e-01 3.57733637e-01 1.21329940e-01 -1.21329940e-01 -3.57733637e-01 -5.75072695e-01 -7.60131388e-01 -9.02518038e-01 -9.81047175e-01 -9.87697052e-01 -9.53980999e-01 -8.36669157e-01 -6.72370697e-01 -4.69619613e-01 -2.41102367e-01 2.50030079e-06 2.41096333e-01 4.69629277e-01 6.72355428e-01 8.36682238e-01 9.53974166e-01 9.87698321e-01 9.81051054e-01 9.02507968e-01 7.60146962e-01 5.75060302e-01 3.57741123e-01 1.21324692e-01 -1.21324692e-01 -3.57741123e-01 -5.75060302e-01 -7.60146962e-01 -9.02507968e-01 -9.81051053e-01 -9.87698317e-01 -9.53974619e-01 -8.36703122e-01 -6.71952537e-01 -4.58336639e-01 -2.96258500e-01
8.00000000e-01 5.54127321e-02 2.39872653e-01 4.66216489e-01 6.68647852e-01 8.34505678e-01 9.54492293e-01 9.84854268e-01 9.80439006e-01 9.01812649e-01 7.57000459e-01 5.71230647e-01 3.54639505e-01 1.20144912e-01 -1.20144912e-01 -3.54639505e-01 -5.71230647e-01 -7.57000459e-01 -9.01812649e-01 -9.80439006e-01 -9.84854268e-01 -9.54492297e-01 -8.34505832e-01 -6.68641113e-01 -4.65986519e-01 -2.38851494e-01 3.07964509e-06 2.38844069e-01 4.65998481e-01 6.68622074e-01 8.34522164e-01 9.54483820e-01 9.84855832e-01 9.80443794e-01 9.01800099e-01 7.57019909e-01 5.71215244e-01 3.54648734e-01 1.20138451e-01 -1.20138451e-01 -3.54648734e-01 -5.71215244e-01 -7.57019909e-01 -9.01800099e-01 -9.80443794e-01 -9.84855832e-01 -9.54483820e-01 -8.34522164e-01 -6.68622074e-01 -4.65998481e-01 -2.38844069e-01 -3.07964509e-06 2.38851494e-01 4.65986519e-01 6.68641113e-01 8.34505832e-01 9.54492297e-01 9.84854268e-01 9.80439006e-01 9.01812649e-01 7.57000459e-01 5.71230647e-01 3.54639505e-01 1.20144912e-01 -1.20144912e-01 -3.54639505e-01 -5.71230647e-01 -7.57000459e-01 -9.01812649e-01 -9.80439006e-01 -9.84854268e-01 -9.54492297e-01 -8.34505832e-01 -6.68641113e-01 -4.65986519e-01 -2.38851494e-01 3.07964509e-06 2.38844069e-01 4.65998481e-01 6.68622074e-01 8.34522164e-01 9.54483820e-01 9.84855832e-01 9.80443794e-01 9.01800099e-01 7.57019909e-01 5.71215244e-01 3.54648734e-01 1.20138451e-01 -1.20138451e-01 -3.54648734e-01 -5.71215244e-01 -7.57019909e-01 -9.01800099e-01 -9.80443791e-01 -9.84855827e-01 -9.54484799e-01 -8.34554693e-01 -6.67952724e-01 -4.52034290e-01 -3.10117631e-01
9.00000000e-01 6.95394122e-02 2.37962007e-01 4.62281243e-01 6.64432305e-01 8.32144099e-01 9.54872653e-01 9.81795446e-01 9.79632935e-01 9.01008675e-01 7.53480003e-01 5.66904794e-01 3.51180464e-01 1.18824077e-01 -1.18824077e-01 -3.51180464e-01 -5.66904794e-01 -7.53480003e-01 -9.01008675e-01 -9.79632935e-01 -9.81795446e-01 -9.54872663e-01 -8.32144365e-01 -6.64418764e-01 -4.61913178e-01 -2.36340030e-01 3.64259206e-06 2.36331257e-01 4.61927409e-01 6.64395917e-01 8.32163991e-01 9.54862552e-01 9.81797298e-01 9.79638609e-01 9.00993625e-01 7.53503386e-01 5.66886383e-01 3.51191391e-01 1.18816438e-01 -1.18816438e-01 -3.51191391e-01 -5.66886383e-01 -7.53503386e-01 -9.00993625e-01 -9.79638609e-01 -9.81797298e-01 -9.54862552e-01 -8.32163991e-01 -6.64395917e-01 -4.61927409e-01 -2.36331257e-01 -3.64259206e-06 2.36340030e-01 4.61913178e-01 6.64418764e-01 8.32144365e-01 9.54872663e-01 9.81795446e-01 9.79632935e-01 9.01008675e-01 7.53480003e-01 5.66904794e-01 3.51180464e-01 1.18824077e-01 -1.18824077e-01 -3.51180464e-01 -5.66904794e-01 -7.53480003e-01 -9.01008675e-01 -9.79632935e-01 -9.81795446e-01 -9.54872663e-01 -8.32144365e-01 -6.64418764e-01 -4.61913178e-01 -2.36340030e-01 3.64259206e-06 2.36331257e-01 4.61927409e-01 6.64395917e-01 8.32163991e-01 9.54862552e-01 9.81797298e-01 9.79638609e-01 9.00993625e-01 7.53503386e-01 5.66886383e-01 3.51191391e-01 1.18816438e-01 -1.18816438e-01 -3.51191391e-01 -5.66886383e-01 -7.53503386e-01 -9.00993626e-01 -9.79638602e-01 -9.81797297e-01 -9.54864462e-01 -8.32210650e-01 -6.63356347e-01 -4.45353783e-01 -3.25442253e-01
